headline,date,doc_type,material_type,section,keywords,source,news_desk,word_count
Celebrities lend Biden a hand in turning out the vote in Philadelphia.,2020-11-01,article,News,,[],The New York Times,Politics,457
The Battlegrounds Within Battlegrounds,2020-11-01,multimedia,Interactive Feature,,['Presidential Election of 2020'],The New York Times,U.S.,0
"‘They’re coming after our state,’ McSally warns Arizona Republicans.",2020-11-01,article,News,,[],The New York Times,Politics,221
Kids’ Graphic Novels That Turn the Superhero Genre on Its Head,2020-11-01,article,Review,,"['Books and Literature', 'Children and Childhood', 'Comic Books and Strips', 'Graphic Novels']",The New York Times,BookReview,989
Got Worries? Make Newspaper Dolls to Catch Them,2020-11-01,article,News,,"['Quarantine (Life and Culture)', 'Dolls', 'Handicrafts']",The New York Times,AtHome,510
Learn the Etiquette of Virtual Weddings,2020-11-01,article,News,,"['Quarantine (Life and Culture)', 'Content Type: Service', 'Weddings and Engagements', 'Videophones and Videoconferencing', 'Parties (Social)', 'Customs, Etiquette and Manners']",The New York Times,AtHome,1412
Listen to the Globe,2020-11-01,article,News,,"['Quarantine (Life and Culture)', 'Radio', 'Music']",The New York Times,AtHome,733
Tap LinkedIn for Career Opportunities,2020-11-01,article,News,,"['Quarantine (Life and Culture)', 'Content Type: Service', 'Social Media', 'Careers and Professions', 'Hiring and Promotion']",The New York Times,AtHome,1327
Sean Connery: From Tentative Secret Agent to Suave Bond,2020-11-01,article,News,,"['Movies', 'Bond, James (Fictional Character)', 'Content Type: Personal Profile', 'Actors and Actresses']",The New York Times,Culture,1130
Don’t Give In to ‘Election Stress Disorder’,2020-11-01,article,News,,"['Quarantine (Life and Culture)', 'Content Type: Service', 'Presidential Election of 2020', 'Anxiety and Stress', 'Politics and Government']",The New York Times,AtHome,1350
"Corrections: Nov. 1, 2020",2020-11-01,article,News,,[],The New York Times,Corrections,90
Quotation of the Day: Tracing Now All but Impossible as Outbreaks Tear Through U.S.,2020-11-01,article,News,,[],The New York Times,Summary,42
"This Election Week, Revisit the Constitution, Then Soothe Your Stressed Mind",2020-11-01,article,News,,"['Quarantine (Life and Culture)', 'Theater', 'Dancing', 'Meditation', 'Music', 'Classical Music', 'Art']",The New York Times,AtHome,784
Obituaries for the American Dream,2020-11-01,article,Op-Ed,,"['Social Conditions and Trends', 'Art']",The New York Times,OpEd,227
Vehicles flying Trump flags try to force a Biden-Harris campaign bus off a highway in Texas.,2020-11-01,article,News,,[],The New York Times,Politics,381
"Trump moves Florida rally up by two hours, but it could still run afoul of a local curfew.",2020-11-01,article,News,,[],The New York Times,Politics,354
"With just two days until Election Day, all eyes are on Pennsylvania.",2020-11-01,article,News,,[],The New York Times,Politics,475
8 Pro-Democracy Politicians Arrested in Hong Kong Over Heated Meeting,2020-11-01,article,News,,"['Politics and Government', 'Law and Legislation', 'Hong Kong Protests (2019)', 'Demonstrations, Protests and Riots']",The New York Times,Foreign,557
Halloween Stabbing Attack in Quebec City Leaves 2 Dead,2020-11-01,article,News,,"['Murders, Attempted Murders and Homicides', 'Halloween']",The New York Times,Foreign,897
"On ‘S.N.L.’, Jim Carrey Reads a Spooky Election Update of ‘The Raven’",2020-11-01,article,News,,['Television'],The New York Times,Culture,1343
‘He Managed a Smile and Thanked Charles for the Compliment’,2020-11-01,article,News,,[],The New York Times,Metropolitan,820
Inside One Brooklyn Restaurant’s Desperate Fight to Survive the Pandemic,2020-11-01,article,News,,"['Restaurants', 'Coronavirus (2019-nCoV)', 'Renting and Leasing (Real Estate)', 'Landlords', 'Bars and Nightclubs', 'Shutdowns (Institutional)']",The New York Times,Metro,1825
"Preaching or Avoiding Politics, Conservative Churches Walk a Delicate Line",2020-11-01,article,News,,"['Ministers (Protestant)', 'Presidential Election of 2020', 'Christians and Christianity', 'Endorsements', 'Religion-State Relations']",The New York Times,National,1448
