headline,date,doc_type,material_type,section,keywords,source,news_desk,word_count
Human Rights Group Says Two U.S. Strikes Killed Somali Civilians,2020-04-01,article,News,,"['Civilian Casualties', 'Terrorism', 'United States Defense and Military Forces']",The New York Times,Washington,954
‘Never Thought I Would Need It’: Americans Put Pride Aside to Seek Aid,2020-04-01,article,News,,"['Unemployment', 'Food Banks and Pantries', 'Layoffs and Job Reductions', 'Philanthropy', 'Coronavirus (2019-nCoV)']",The New York Times,Culture,1532
"$30 Million in Illegal Drugs Seized From Cross-Border Tunnel in San Diego, U.S. Says",2020-04-01,article,News,,"['Drug Abuse and Traffic', 'Border Barriers', 'Smuggling', 'Immigration and Emigration', 'Organized Crime']",The New York Times,Express,599
"As Furloughs Grow, Kennedy Center Defends Use of $25 Million in Aid",2020-04-01,article,News,,"['Finances', 'Art', 'Coronavirus Aid, Relief, and Economic Security Act (2020)', 'United States Politics and Government']",The New York Times,Culture,648
Historic Town in Veszprém County,2020-04-01,article,News,,['Crossword Puzzles'],The New York Times,Games,622
Trump Calls New Fuel Economy Rule a Boon. Some Experts See Steep Costs.,2020-04-01,article,News,,"['Global Warming', 'Environment', 'Greenhouse Gas Emissions', 'United States Politics and Government', 'Fuel Efficiency', 'Regulation and Deregulation of Industry', 'United States Economy']",The New York Times,Climate,821
This Broccoli-Dill Pasta Has a Hippie Twist. Your Kids Will Love It.,2020-04-01,article,News,,"['Cooking and Cookbooks', 'Vegetables', 'Broccoli', 'Recipes']",The New York Times,Magazine,745
"Quotation of the Day: Cases Spiral Aboard an Aircraft Carrier, and a Commander Pleads for Help",2020-04-01,article,Quote,,[],The New York Times,Summary,67
"Corrections: April 1, 2020",2020-04-01,article,Correction,,[],The New York Times,Corrections,377
"Wallace Roney, Jazz Trumpet Virtuoso, Is Dead at 59",2020-04-01,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Jazz', 'Coronavirus (2019-nCoV)']",The New York Times,Obits,1479
"Coronavirus, Donald Trump, Asia: Your Wednesday Briefing",2020-04-01,article,briefing,,[],The New York Times,NYTNow,1516
Fire at Bronx Apartment Building Kills 4,2020-04-01,article,News,,"['Fires and Firefighters', 'Deaths (Fatalities)']",The New York Times,Express,439
"Coronavirus Spreads Amid Supply Shortages, Stay-at-Home Orders and Sobering Economics",2020-04-01,article,News,,"['Coronavirus (2019-nCoV)', 'Epidemics', 'Deaths (Fatalities)']",The New York Times,Foreign,7034
Retailers Under Pressure to Protect Workers,2020-04-01,article,News,,"['United States Economy', ""Standard & Poor's 500-Stock Index"", 'Stocks and Bonds', 'Coronavirus (2019-nCoV)', 'Economic Conditions and Trends', 'International Trade and World Market']",The New York Times,Business,2091
What’s on TV Wednesday: ‘Baghdad Central’ and a Sketch Comedy Show,2020-04-01,article,News,,"['Television', 'Movies']",The New York Times,Culture,468
Word + Quiz: limn,2020-04-01,article,News,,[],The New York Times,Learning,259
"Empire State Building Coronavirus Tribute Rang a False Alarm, Fallon Jokes",2020-04-01,article,News,,[],The New York Times,Culture,594
They Made New Lives in the U.S. The Coronavirus Sent Them Fleeing.,2020-04-01,article,News,,"['Coronavirus (2019-nCoV)', 'Health Insurance and Managed Care', 'Foreign Workers', 'Immigration and Emigration']",The New York Times,Foreign,1151
Your Learning Space,2020-04-01,article,News,,[],The New York Times,Learning,124
Coronavirus Battle Creates a Global ‘Free-for-All’ to Find Masks,2020-04-01,article,News,,"['Coronavirus (2019-nCoV)', 'Masks', 'Protective Clothing and Gear', 'Factories and Manufacturing', 'Medical Devices', 'Freight (Cargo)', 'International Trade and World Market', 'Shortages']",The New York Times,Business,1477
Stuck Inside? Here’s an Australian Kids’ Show Every Parent Can Love,2020-04-01,article,News,,"['Children and Childhood', 'Television', 'Parenting', 'Dogs', 'Cartoons and Cartoonists']",The New York Times,Culture,979
"The Wildly Funny Samantha Irby Is Back, Not a Moment Too Soon",2020-04-01,article,Review,,['Books and Literature'],The New York Times,Culture,828
Letter of Recommendation: Mudlarking,2020-04-01,article,News,,"['Rivers', 'Bones', 'Mines and Mining']",The New York Times,Magazine,951
What Role Should Celebrities Have During the Coronavirus Crisis?,2020-04-01,article,News,,[],The New York Times,Learning,684
Cannabis Scientists Are Chasing the Perfect High,2020-04-01,article,News,,"['Cannabis Foods and Products', 'Marijuana', 'Drugs (Pharmaceuticals)', 'Research']",The New York Times,Magazine,4281
Did a Cult Hair-Care Line Cause Thousands of Women to Lose Their Hair?,2020-04-01,article,News,,"['Hair', 'Suits and Litigation (Civil)']",The New York Times,Styles,1307
Looking for a Book to Read With Your Family?,2020-04-01,article,News,,[],The New York Times,BookReview,1249
Au Pairs Caught Between Work and a Pandemic,2020-04-01,article,News,,"['Child Care', 'Quarantines', 'Coronavirus (2019-nCoV)', 'Families and Family Life', 'Visas']",The New York Times,Smarter Living,1363
"If You Have Coronavirus Symptoms, Assume You Have the Illness, Even if You Test Negative",2020-04-01,article,News,,"['Tests (Medical)', 'Coronavirus (2019-nCoV)', 'Quarantines', 'ANTIBIOTICS', 'Influenza', 'Hygiene and Cleanliness']",The New York Times,Well,817
He Was Already Sick. Was His Life Worth Less Than Yours?,2020-04-01,article,Op-Ed,,"['Coronavirus (2019-nCoV)', 'Elderly', 'Hospice Care', 'Medicine and Health', 'Death and Dying']",The New York Times,OpEd,994
