headline,date,doc_type,material_type,section,keywords,source,news_desk,word_count
Joshua Wong and Alex Chow: The People of Hong Kong Will Not Be Cowed by China,2019-09-01,article,Op-Ed,,"['Hong Kong Protests (2019)', 'Politics and Government', 'Secession and Independence Movements', 'Human Rights and Human Rights Violations', 'Extradition', 'United States International Relations']",The New York Times,OpEd,1272
53 People Died in Mass Shootings in August Alone in the U.S.,2019-09-01,article,News,,"['El Paso, Tex, Shooting (2019)', 'Dayton, Ohio, Shooting (2019)', 'School Shootings and Armed Attacks', 'Mass Shootings', 'Gilroy, Calif, Shooting (2019)', 'Virginia Beach, Va, Shooting (2019)', 'Gun Control']",The New York Times,Express,751
"A Very German Idea of Freedom: Nude Ping-Pong, Nude Sledding, Nude Just About Anything",2019-09-01,article,News,,['Nudism and Nudity'],The New York Times,Foreign,1409
"Diana Willkie, Frank Hamilton",2019-09-01,article,News,,['Weddings and Engagements'],The New York Times,Society,267
"Edna Ishayik, Seth London",2019-09-01,article,News,,['Weddings and Engagements'],The New York Times,Society,196
"Katharine Anawalt, Harrison Gish",2019-09-01,article,News,,['Weddings and Engagements'],The New York Times,Society,266
"Melanie Goldstein, Daniel Berenson",2019-09-01,article,News,,['Weddings and Engagements'],The New York Times,Society,269
"Seanna Irvin-Anderson, Andrew Granchelli",2019-09-01,article,News,,['Weddings and Engagements'],The New York Times,Society,278
How Much Will the Trade War Cost You by the End of the Year?,2019-09-01,multimedia,Interactive Feature,,"['International Trade and World Market', 'Customs (Tariff)', 'Prices (Fares, Fees and Rates)', 'Washing Machines and Dryers', 'United States Politics and Government', 'United States International Relations']",The New York Times,Business Day,0
"As Trump Escalates Trade War, U.S. and China Move Further Apart With No End in Sight",2019-09-01,article,News,,"['United States International Relations', 'International Trade and World Market', 'Customs (Tariff)', 'United States Economy', 'United States Politics and Government']",The New York Times,Business,1437
"Natalie Heer, Jeremy Cushman",2019-09-01,article,News,,['Weddings and Engagements'],The New York Times,Society,274
"Julia Winn, Thomas Buckley",2019-09-01,article,News,,['Weddings and Engagements'],The New York Times,Society,212
"Laura Sirico, MJ Schanne",2019-09-01,article,News,,['Weddings and Engagements'],The New York Times,Society,341
"Natalie Reid, Ryan Lecznar",2019-09-01,article,News,,['Weddings and Engagements'],The New York Times,Society,303
"Stephanie Hagen, Ludovic Wiart",2019-09-01,article,News,,['Weddings and Engagements'],The New York Times,Society,265
"Julianna Scheiman, Daniel Beswick",2019-09-01,article,News,,['Weddings and Engagements'],The New York Times,Society,284
