headline,date,doc_type,material_type,section,keywords,source,news_desk,word_count
"For Better Health, Try Fitness From the Inside Out",2022-04-01,article,News,,"['Content Type: Service', 'Anxiety and Stress', 'Meditation', 'Exercise']",The New York Times,Well,1235
"Patrick Demarchelier, Fashion Photographer, Dies at 78",2022-04-01,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Magazines', 'Models (Professional)', 'Fashion and Apparel', 'Photography', 'Sexual Harassment']",The New York Times,Obits,897
"‘The Bubble’ Review: Swabs, Camera, Action",2022-04-01,article,Review,,['Movies'],The New York Times,Weekend,307
This Might Help Clear Things Up,2022-04-01,article,News,,"['Crossword Puzzles', ""APRIL FOOL'S DAY""]",The New York Times,Games,427
Variety: Marching Bands,2022-04-01,article,News,,"['Crossword Puzzles', 'Marching Bands']",The New York Times,Games,476
E.P.A. Decides Against Limiting Perchlorate in Drinking Water,2022-04-01,article,News,,"['Global Warming', 'Greenhouse Gas Emissions', 'Perchlorate', 'Hazardous and Toxic Substances', 'Regulation and Deregulation of Industry', 'Thyroid Gland']",The New York Times,Climate,666
Two Swimmers Take a Deep Breath Together,2022-04-01,article,News,,['Weddings and Engagements'],The New York Times,Styles,701
Picking Him Out From a Crowd,2022-04-01,article,News,,['Weddings and Engagements'],The New York Times,Styles,640
Before Love Came a Lot of Likes,2022-04-01,article,News,,['Weddings and Engagements'],The New York Times,Styles,713
"From the Start, Their Relationship Was ‘Uglies’",2022-04-01,article,News,,['Weddings and Engagements'],The New York Times,Styles,695
The Dentist Who Treated My Divorce,2022-04-01,article,News,,"['Love (Emotion)', 'Marriages', 'Divorce, Separations and Annulments', 'Teeth and Dentistry']",The New York Times,Styles,1539
"In Paris, and Each Other, They Found Home",2022-04-01,article,News,,['Weddings and Engagements'],The New York Times,Styles,1310
Paige Bueckers Has Performed in Minneapolis Before,2022-04-01,article,News,,"['NCAA Basketball Championships (Women)', 'Basketball (College)', 'Content Type: Personal Profile', 'Sports Injuries']",The New York Times,Sports,1264
Judge Tosses Out New York’s New Political Districts,2022-04-01,article,briefing,,"['Budgets and Budgeting', 'Politics and Government', 'Elections, House of Representatives', 'Decisions and Verdicts', 'Redistricting and Reapportionment', 'State Legislatures']",The New York Times,Metro,1402
"Corrections: April 1, 2022",2022-04-01,article,Correction,,[],The New York Times,Corrections,163
Quotation of the Day: Judge Rules Parts of Florida Vote Law Unconstitutional,2022-04-01,article,News,,[],The New York Times,Summary,44
Word of the Day: oblivionaire,2022-04-01,article,News,,"[""APRIL FOOL'S DAY""]",The New York Times,Learning,272
Your Friday Briefing,2022-04-01,article,briefing,,[],The New York Times,NYTNow,1320
"Boy, 12, Is Fatally Shot in a Parked Car in Brooklyn, Police Say",2022-04-01,article,News,,"['Murders, Attempted Murders and Homicides']",The New York Times,Metro,1095
Late Night Gets Why Putin’s Advisers Keep Him in the Dark,2022-04-01,article,News,,['Television'],The New York Times,Culture,601
Midnight Oil Brings Australia Home,2022-04-01,article,News,,"['Music', 'Pop and Rock Music']",The New York Times,Foreign,1225
Spelling Bee Forum,2022-04-01,article,News,,[],The New York Times,Games,225
"‘I’m in Hot Demand, Baby’: Nebraska Thrives (and Copes) With Low Unemployment",2022-04-01,article,News,,"['Economic Conditions and Trends', 'Labor and Jobs', 'Shortages', 'Wages and Salaries', 'Unemployment', 'Inflation (Economics)', 'Hiring and Promotion']",The New York Times,Business,1623
Stop and Smell the Roses,2022-04-01,article,News,,"['Books and Literature', 'Children and Childhood', 'genre-books-childrens']",The New York Times,BookReview,732
"After the Protesters Left, an Illicit Weed Began Growing in Parliament’s Garden",2022-04-01,article,News,,"['Legislatures and Parliaments', 'Demonstrations, Protests and Riots', 'Vaccination and Immunization', 'Marijuana', 'Coronavirus (2019-nCoV)']",The New York Times,Foreign,476
5 Things to Do This Weekend,2022-04-01,multimedia,Interactive Feature,,"['Grammy Awards', 'Music', 'Whitney Biennial']",The New York Times,Arts,0
New in Paperback: ‘Caul Baby’ and ‘While Justice Sleeps’,2022-04-01,article,List,,['Books and Literature'],The New York Times,BookReview,377
"The New York Times News Quiz, April 1, 2022",2022-04-01,multimedia,Interactive Feature,,[],The New York Times,Briefing,0
Murder in the Mohalla,2022-04-01,article,Review,,['Books and Literature'],The New York Times,BookReview,1184
This Teen Romance Is Like Any Other. That’s What Makes It So Different.,2022-04-01,article,Review,,"['Books and Literature', 'genre-books-young-adult']",The New York Times,Books,903
This Is Why It Took More Than 100 Years to Get an Anti-Lynching Bill,2022-04-01,article,Op-Ed,,"['Law and Legislation', 'Lynching', 'United States Politics and Government', 'Filibusters and Debate Curbs', 'Minorities', 'Black People', 'Blacks', 'Discrimination', 'Federal-State Relations (US)']",The New York Times,OpEd,1097
Separated but Under the Same Roof,2022-04-01,article,News,,"['Real Estate and Housing (Residential)', 'Renting and Leasing (Real Estate)', 'Dating and Relationships', 'Divorce, Separations and Annulments', 'Marriages', 'Parenting', 'Single Persons', 'Families and Family Life', 'Personal Finances']",The New York Times,RealEstate,1914
Reverse Mortgages Are No Longer Just for Homeowners Short on Cash,2022-04-01,article,News,,"['Retirement', 'Mortgages', 'Real Estate and Housing (Residential)', 'Home Equity Loans', 'Content Type: Service', 'Income', 'Personal Finances', 'Elderly', 'Stocks and Bonds']",The New York Times,SundayBusiness,2018
At the Fountain,2022-04-01,article,News,,[],The New York Times,Learning,99
How to Endure the Big Decline in Bonds,2022-04-01,article,News,,"['United States Economy', 'Interest Rates', 'Content Type: Service', 'Recession and Depression', 'Inflation (Economics)', 'Stocks and Bonds', 'Mutual Funds', 'Mortgages']",The New York Times,SundayBusiness,1481
This article was published in error.,2022-04-01,article,News,,"['Nineteen Hundred Sixties', 'Politics and Government', 'Archives and Records', 'Civil Rights Movement (1954-68)', 'Books and Literature']",The New York Times,Books,0
Do You Enjoy Taking Long Walks?,2022-04-01,article,News,,"['Education', 'Walking']",The New York Times,Learning,221
