headline,date,doc_type,material_type,section,keywords,source,news_desk,word_count
‘Battling a Demon’: Drifter Sought Help Before Texas Church Shooting,2020-01-01,article,News,,"['Churches (Buildings)', 'Murders, Attempted Murders and Homicides']",The New York Times,National,1295
Protect Veterans From Fraud,2020-01-01,article,Editorial,,"['Veterans', 'For-Profit Schools', 'Financial Aid (Education)', 'Frauds and Swindling', 'Colleges and Universities']",The New York Times,Editorial,680
F.D.A. Plans to Ban Most E-Cigarette Flavors but Menthol,2020-01-01,article,News,,"['E-Cigarettes', 'Recalls and Bans of Products', 'Menthol', 'Nicotine', 'Teenagers and Adolescence', 'Regulation and Deregulation of Industry', 'Smoking and Tobacco', 'Lobbying and Lobbyists', 'United States Politics and Government', 'your-feed-healthcare']",The New York Times,Science,1236
‘It’s Green and Slimy’,2020-01-01,article,News,,['Crossword Puzzles'],The New York Times,Games,931
"Corrections: Jan. 1, 2020",2020-01-01,article,Correction,,[],The New York Times,Corrections,299
Quotation of the Day: Ex-SEAL Now Pitching Products and President,2020-01-01,article,Quote,,[],The New York Times,Summary,64
Hospitals and Schools Are Being Bombed in Syria. A U.N. Inquiry Is Limited. We Took a Deeper Look.,2020-01-01,multimedia,Interactive Feature,,"['Defense and Military Forces', 'Civilian Casualties']",The New York Times,World,0
Hong Kong Protesters Return to Streets as New Year Begins,2020-01-01,article,News,,"['Demonstrations, Protests and Riots', 'Hong Kong Protests (2019)', 'New Year']",The New York Times,Foreign,1140
Kevin Spacey Accuser’s Estate Drops Sexual Assault Lawsuit,2020-01-01,article,News,,"['Sexual Harassment', 'Suits and Litigation (Civil)', 'Movies', '#MeToo Movement', 'Television', 'ACTORS AND ACTRESSES', 'Massage', 'Sex Crimes', 'Academy Awards (Oscars)', 'Golden Globes (Awards)', 'Tony Awards (Theater Awards)']",The New York Times,Express,499
Dizzying Day for Trump Caps a Year Full of Them,2020-01-01,article,News,,"['United States International Relations', 'United States Politics and Government', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry']",The New York Times,Washington,719
Meteor Showers in 2020 That Will Light Up Night Skies,2020-01-01,article,News,,"['Meteors and Meteorites', 'Space and Astronomy', 'Earth', 'Solar System']",The New York Times,Science,1057
Sync your calendar with the solar system,2020-01-01,multimedia,Interactive Feature,,"['Space and Astronomy', 'Moon', 'Eclipses', 'Seasons and Months', 'Solar System', 'Meteors and Meteorites']",The New York Times,Science,0
"Rocket Launches, Trips to Mars and More 2020 Space and Astronomy Events",2020-01-01,article,News,,"['Space and Astronomy', 'Private Spaceflight', 'Rocket Science and Propulsion', 'Moon', 'Mars (Planet)', 'Sun', 'Mars 2020 (Mars Rover)', 'Satellites', 'International Space Station', 'Comets', 'Perseverance (Mars Rover)', 'Emirates Mars Mission', 'Tianwen-1 (Mars Mission)']",The New York Times,Science,1156
What’s on TV Wednesday: A Linda Ronstadt Doc and ‘Doctor Who’,2020-01-01,article,News,,"['Television', 'Movies']",The New York Times,Culture,490
How the U.S. Embassy in Iraq Became a Target,2020-01-01,article,News,,"['Politics and Government', 'United States International Relations', 'United States Defense and Military Forces', 'Defense and Military Forces', 'Demonstrations, Protests and Riots', 'Diplomatic Service, Embassies and Consulates', 'Corruption (Institutional)']",The New York Times,Foreign,1189
10 Electric Vehicles to Watch,2020-01-01,article,News,,"['Electric and Hybrid Vehicles', 'Automobile Service and Charging Stations', 'Batteries']",The New York Times,Business,1596
Why the Fires in Australia Are So Bad,2020-01-01,article,News,,"['Fires and Firefighters', 'Wildfires', 'Global Warming']",The New York Times,Foreign,1006
Pro-Iranian Protesters End Siege of U.S. Embassy in Baghdad,2020-01-01,article,News,,"['Demonstrations, Protests and Riots', 'Diplomatic Service, Embassies and Consulates', 'United States Defense and Military Forces', 'United States International Relations']",The New York Times,Foreign,1120
Judge John Hodgman on Uncle Money Bags,2020-01-01,article,News,,['Comedy and Humor'],The New York Times,Magazine,153
"She Felt Fine, but Her M.R.I. Showed Several Strokes. What Was Wrong?",2020-01-01,article,News,,"['Stroke', 'Brain', 'Heart', 'Medicine and Health']",The New York Times,Magazine,1395
These Armenian Flatbreads Stuffed With Greens Are the Perfect Snack,2020-01-01,article,News,,"['Cooking and Cookbooks', 'Recipes']",The New York Times,Magazine,754
"‘Don’t Believe a Word,’ a Look at Language and Power (and Why Dolphins Have Accents)",2020-01-01,article,Review,,"['Books and Literature', 'Language and Languages']",The New York Times,Culture,957
"Eat Better, Feel Better? Food Advice From the Year in Well",2020-01-01,article,News,,"['Weight', 'Fasting', 'Diet and Nutrition']",The New York Times,Well,440
Can You Talk Your Way Out of a Life Sentence?,2020-01-01,article,News,,"['Prisons and Prisoners', 'Probation and Parole', 'Gangs', 'Sentences (Criminal)']",The New York Times,Magazine,9781
Poem: The Far Norway Maples,2020-01-01,article,News,,['Poetry and Poets'],The New York Times,Magazine,242
New Year’s Resolution: Be More Honest,2020-01-01,article,News,,[],The New York Times,Well,1368
No More Excuses Not to Exercise,2020-01-01,article,News,,"['Exercise', 'New Year', 'Leisure', 'Television', 'Time']",The New York Times,Well,804
New Cruise Ships to Set Sail for Antarctica,2020-01-01,article,News,,"['Cruises', 'Travel and Vacations', 'Eco-Tourism', 'Ice']",The New York Times,Travel,876
The Tech That Will Invade Our Lives in 2020,2020-01-01,article,News,,"['5G (Wireless Communications)', 'Computers and the Internet', 'Wearable Computing', 'Mobile Applications', 'Wireless Communications', 'Driverless and Semiautonomous Vehicles', 'Home Automation and Smart Homes', 'Television', 'International Consumer Electronics Show', 'Television Sets and Media Devices', 'Innovation']",The New York Times,Business,1086
Inside the Fake Igloo Rooftop Wars,2020-01-01,article,News,,"['Bars and Nightclubs', 'Roofs']",The New York Times,Metropolitan,743
Adam Driver Has Put Everything He’s Got Onscreen,2020-01-01,article,News,,"['Movies', 'ACTORS AND ACTRESSES', 'Gotham Independent Film Awards', 'Academy Awards (Oscars)']",The New York Times,Arts&Leisure,1504
Couture Creations for Dancing Bodies,2020-01-01,article,News,,"['Dancing', 'Fashion and Apparel', 'Costumes']",The New York Times,Arts&Leisure,1608
"100 Years Ago, the Booziest January Suddenly Dried Up",2020-01-01,article,News,,"['Prohibition Era (1920-1933)', 'ALCOHOLIC BEVERAGES', 'Nineteen Hundred Twenties', 'Cocktails and Mixed Drinks']",The New York Times,Photo,1184
Elizabeth Warren Isn’t Talking Much About ‘Medicare for All’ Anymore,2020-01-01,article,News,,"['Presidential Election of 2020', 'Health Insurance and Managed Care', 'Primaries and Caucuses']",The New York Times,Politics,1443
"Living In ... Bedminster, N.J.",2020-01-01,multimedia,Slideshow,,['Real Estate and Housing (Residential)'],The New York Times,Real Estate,0
"In a Homecoming Video Meant to Unite Campus, Almost Everyone Was White",2020-01-01,article,News,,"['Colleges and Universities', 'Race and Ethnicity', 'Whites', 'Discrimination', 'Black People', 'Blacks', 'Video Recordings, Downloads and Streaming']",The New York Times,National,2619
"Bedminster, N.J.: Horses, Golf and Presidential Visits",2020-01-01,article,News,,['Real Estate and Housing (Residential)'],The New York Times,RealEstate,1403
China Moves to Steady Its Slowing Economic Growth,2020-01-01,article,News,,"['Economic Conditions and Trends', 'Politics and Government', 'International Trade and World Market', 'Production']",The New York Times,Business,887
Pete Buttigieg’s Campaign Says It Raised $24.7 Million in the Fourth Quarter,2020-01-01,article,News,,"['Campaign Finance', 'Presidential Election of 2020', 'United States Politics and Government']",The New York Times,Politics,773
"The Work Diary of Anna Bond, Whose Work Includes … Making Diaries",2020-01-01,article,News,,"['Design', 'Workplace Environment']",The New York Times,SundayBusiness,1957
Pika-Who? How Pokémon Go Confused the Canadian Military,2020-01-01,article,News,,"['Defense and Military Forces', 'Military Bases and Installations', 'Pokemon (Fictional Characters)', 'Mobile Applications', 'Augmented Reality (Computers)']",The New York Times,Express,716
What Kim Jong-un’s Latest Threats Say About His Trump Strategy,2020-01-01,article,News,,"['United States International Relations', 'Nuclear Tests', 'Embargoes and Sanctions', 'Politics and Government', 'Nuclear Weapons']",The New York Times,Foreign,1234
Mexico Prison Fight Leaves at Least 16 Inmates Dead,2020-01-01,article,News,,"['Prisons and Prisoners', 'Deaths (Fatalities)', 'Drug Cartels', 'Demonstrations, Protests and Riots']",The New York Times,Foreign,296
"What You Get for $750,000",2020-01-01,multimedia,Slideshow,,['Real Estate and Housing (Residential)'],The New York Times,Real Estate,0
