headline,date,doc_type,material_type,section,keywords,source,news_desk,word_count
Two Arrested in Killings of Transgender Women in Puerto Rico,2020-05-01,article,News,,"['Murders, Attempted Murders and Homicides', 'Hate Crimes']",The New York Times,Express,839
Fiona Ex Machina,2020-05-01,article,News,,[],The New York Times,Podcasts,146
No Graduation Ceremony? You Get Oprah!,2020-05-01,article,News,,"['Commencement Speeches', 'Colleges and Universities', 'Computers and the Internet', 'Coronavirus (2019-nCoV)']",The New York Times,Express,604
Coronavirus Briefing: What Happened Today,2020-05-01,article,briefing,,['Coronavirus (2019-nCoV)'],The New York Times,NYTNow,1572
Closing Number of a Musical,2020-05-01,article,News,,['Crossword Puzzles'],The New York Times,Games,942
Labs Across U.S. Join Federal Initiative to Study Coronavirus Genome,2020-05-01,article,News,,"['Genetics and Heredity', 'Coronavirus (2019-nCoV)', 'Medicine and Health', 'Research', 'Epidemics', 'Vaccination and Immunization', 'Laboratories and Scientific Equipment']",The New York Times,Investigative,712
"Corrections: May 1, 2020",2020-05-01,article,Correction,,[],The New York Times,Corrections,176
Quotation of the Day: Billions Slide Down Ladder That Took Decades to Climb,2020-05-01,article,Quote,,[],The New York Times,Summary,37
"Making Space in Marriage, Even as the Walls Close In",2020-05-01,article,News,,"['Love (Emotion)', 'Marriages', 'Burning Man Festival']",The New York Times,Styles,1547
U.S. Stocks End the Week Lower After Tech Earnings,2020-05-01,article,News,,"['United States Economy', 'Coronavirus (2019-nCoV)', 'Stocks and Bonds', ""Standard & Poor's 500-Stock Index""]",The New York Times,Business,2319
Companies Sell the Blood of Recovered Coronavirus Patients for Exorbitant Prices,2020-05-01,article,News,,"['Coronavirus (2019-nCoV)', 'AIRLINES AND AIRPLANES', 'Politics and Government']",The New York Times,Foreign,6249
"Coronavirus, E.C.B., Chinese Lab: Your Friday Briefing",2020-05-01,article,briefing,,[],The New York Times,NYTNow,1575
Anderson Cooper Announces Birth of His First Child,2020-05-01,article,News,,"['Television', 'Surrogate Motherhood']",The New York Times,Express,369
Will New N.C.A.A. Rules Really Keep Agents and Boosters at Bay?,2020-05-01,article,News,,"['Football (College)', 'Basketball (College)', 'College Athletics', 'AMATEUR ATHLETICS']",The New York Times,Sports,890
Hundreds of Rohingya Refugees Stuck at Sea With ‘Zero Hope’,2020-05-01,article,News,,"['Rohingya (Ethnic Group)', 'Refugees and Displaced Persons', 'Human Trafficking', 'Coronavirus (2019-nCoV)']",The New York Times,Foreign,1063
Michigan Governor Reinstates State of Emergency as Protests Ramp Up,2020-05-01,article,News,,"['Demonstrations, Protests and Riots', 'Coronavirus (2019-nCoV)', 'State Legislatures', 'Quarantines', 'Executive Orders and Memorandums']",The New York Times,National,358
Tennis Coming Back Slowly With Exhibition Matches,2020-05-01,article,News,,"['Tennis', 'Shutdowns (Institutional)', 'Coronavirus (2019-nCoV)']",The New York Times,Sports,1279
What’s on TV Friday: ‘Hollywood’ and ‘Prop Culture’,2020-05-01,article,News,,"['Television', 'Movies']",The New York Times,Weekend,491
"Locked Inside, We’re Like Whitman, Finding Joy in Smallness",2020-05-01,article,News,,['Books and Literature'],The New York Times,BookReview,52
Racing Against the Virus From Inside Australia’s Healthcare System,2020-05-01,article,briefing,,"['Emergency Medical Treatment', 'Coronavirus (2019-nCoV)', 'Hospitals']",The New York Times,Culture,1156
Word + Quiz: peroration,2020-05-01,article,News,,[],The New York Times,Learning,148
"‘Hospital Needs to Be Quarantined,’ but Works On in Country at War",2020-05-01,article,News,,"['Quarantines', 'Hospitals', 'Coronavirus (2019-nCoV)', 'Afghanistan War (2001- )', 'Epidemics']",The New York Times,Foreign,1062
Eyeballs,2020-05-01,article,News,,[],The New York Times,Learning,63
#CancelRent Is New Rallying Cry for Tenants. Landlords Are Alarmed.,2020-05-01,article,News,,"['Real Estate and Housing (Residential)', 'Renting and Leasing (Real Estate)', 'Landlords', 'Evictions', 'Unemployment', 'United States Economy', 'Coronavirus (2019-nCoV)', 'Coronavirus Aid, Relief, and Economic Security Act (2020)', 'Demonstrations, Protests and Riots']",The New York Times,Metro,1129
"The Best Movies and TV Shows Coming to Netflix, Amazon and More in May",2020-05-01,article,News,,"['Television', 'Movies', 'Documentary Films and Programs']",The New York Times,AtHome,1638
"Rome Has Been Sacked, Conquered and Abandoned. Now It’s the Pandemic’s Turn.",2020-05-01,article,News,,"['Quarantines', 'Coronavirus (2019-nCoV)']",The New York Times,Foreign,1273
‘All Day and a Night’ Review: Growth Behind Bars,2020-05-01,article,Review,,['Movies'],The New York Times,Weekend,416
"‘The Half of It’ Review: Being Yourself (and That Person, Too)",2020-05-01,article,Review,,['Movies'],The New York Times,Weekend,296
"News Quiz: Coronavirus, Remdesivir, Bill de Blasio",2020-05-01,multimedia,Interactive Feature,,[],The New York Times,Briefing,0
"Lesson of the Day: ‘Their Met Gala, Their Way. You’re Invited.’",2020-05-01,article,News,,[],The New York Times,Learning,678
Late Night Hosts Are Starting to Feel the Strain,2020-05-01,article,News,,[],The New York Times,Culture,613
I Watched These Pandas Have Sex. I’ve Never Been So Happy.,2020-05-01,multimedia,Video,,"['Coronavirus (2019-nCoV)', 'Pandas', 'Sex']",The New York Times,,0
The World’s Stadiums Become a Lifeline,2020-05-01,multimedia,Interactive Feature,,"['Coronavirus (2019-nCoV)', 'Stadiums and Arenas', 'Tests (Medical)', 'Photography']",The New York Times,Sports,0
