headline,date,doc_type,material_type,section,keywords,source,news_desk,word_count
Facebook Could Block Sharing of News Stories in Australia,2020-09-01,article,News,,"['Computers and the Internet', 'News and News Media', 'Social Media', 'Regulation and Deregulation of Industry', 'Rumors and Misinformation', 'Search Engines', 'Law and Legislation']",The New York Times,Business,1079
Unwitting Progressives for Trump,2020-09-01,article,Op-Ed,,"['George Floyd Protests (2020)', 'Demonstrations, Protests and Riots', 'Presidential Election of 2020', 'Black Lives Matter Movement', 'Looting (Crime)', 'Race and Ethnicity', 'Police Brutality, Misconduct and Shootings', 'Monuments and Memorials (Structures)']",The New York Times,OpEd,895
"‘We Germans,’ Alexander Starritt by the Author: An Excerpt",2020-09-01,article,Review,,[],The New York Times,BookReview,2357
A Long History of Language That Incites and Demonizes,2020-09-01,article,News,,"['George Floyd Protests (2020)', 'Demonstrations, Protests and Riots', 'Presidential Election of 2020', 'Antifa Movement (US)', 'Black Lives Matter Movement', 'Police Brutality, Misconduct and Shootings', 'United States Politics and Government', 'Black People', 'Blacks', 'Charlottesville, Va, Violence (August, 2017)', 'Republican National Convention']",The New York Times,Washington,923
Trump Defends Kyle Rittenhouse,2020-09-01,multimedia,Video,,"['United States Politics and Government', 'Demonstrations, Protests and Riots', 'Murders, Attempted Murders and Homicides']",The New York Times,,0
One of the Candidates Cheers Violence. It’s Not Biden.,2020-09-01,article,Op-Ed,,"['Presidential Election of 2020', 'George Floyd Protests (2020)', 'United States Politics and Government', 'Polls and Public Opinion', 'Demonstrations, Protests and Riots', 'Fringe Groups and Movements', 'Whites', 'Terrorism', 'Vandalism', 'Voting and Voters', 'Black Lives Matter Movement', 'Republican National Convention']",The New York Times,OpEd,977
Unable to Decide,2020-09-01,article,News,,['Crossword Puzzles'],The New York Times,Games,760
"Quotation of the Day: In Command: The Few, the Proud, the White",2020-09-01,article,Quote,,[],The New York Times,Summary,55
"Corrections: Sept. 1, 2020",2020-09-01,article,Correction,,[],The New York Times,Corrections,304
How the Fatal Shooting at a Portland Protest Unfolded,2020-09-01,article,News,,"['Demonstrations, Protests and Riots', 'Murders, Attempted Murders and Homicides', 'George Floyd Protests (2020)', 'Black Lives Matter Movement', 'Video Recordings, Downloads and Streaming', 'Fringe Groups and Movements']",The New York Times,Video,711
"Germany’s Far Right, ‘Hotel Rwanda,’ Spain: Your Tuesday Briefing",2020-09-01,article,briefing,,[],The New York Times,NYTNow,1590
Los Angeles Sheriff’s Deputies Fatally Shoot a Black Man They Say Had a Gun,2020-09-01,article,News,,"['Police Reform', 'George Floyd Protests (2020)', 'Black Lives Matter Movement', 'Black People', 'Blacks', 'Police Brutality, Misconduct and Shootings', 'Demonstrations, Protests and Riots']",The New York Times,Express,812
Walmart Announces Membership Service in Attempt to Compete With Amazon,2020-09-01,article,News,,"['Shopping and Retail', 'E-Commerce', 'Delivery Services']",The New York Times,Business,484
What Belarusians Can Learn From Poland,2020-09-01,article,Op-Ed,,"['Strikes', 'Demonstrations, Protests and Riots', 'Freedom of the Press', 'Police Brutality, Misconduct and Shootings', 'Human Rights and Human Rights Violations']",The New York Times,OpEd,1097
Samsung Heir Is Indicted but Avoids Jail,2020-09-01,article,News,,"['Mergers, Acquisitions and Divestitures', 'Securities and Commodities Violations', 'Stocks and Bonds']",The New York Times,Business,927
"From the Seabed, Figures of an Ancient Cult",2020-09-01,article,News,,"['Shipwrecks (Historic)', 'ARCHAEOLOGY AND ANTHROPOLOGY', 'your-feed-science']",The New York Times,Science,723
These Scientists Are Giving Themselves D.I.Y. Coronavirus Vaccines,2020-09-01,article,News,,"['Coronavirus (2019-nCoV)', 'Vaccination and Immunization', 'Clinical Trials', 'Research', 'Antibodies', 'Suits and Litigation (Civil)', 'Regulation and Deregulation of Industry', 'Ethics and Official Misconduct', 'your-feed-healthcare']",The New York Times,Science,1888
"The Best Movies and TV Shows New to Netflix, Amazon and Stan in Australia in September",2020-09-01,article,News,,"['Television', 'Movies']",The New York Times,Foreign,1702
Emma Cline Knows First World Problems,2020-09-01,article,Review,,['Books and Literature'],The New York Times,BookReview,1054
The Battleground States Biden and Trump Need to Win 270,2020-09-01,multimedia,Interactive Feature,,"['Elections', 'Presidential Election of 2020', 'Electoral College']",The New York Times,U.S.,0
"‘In a World That Shouts, This Book Is a Song Played Softly,’ Ethan Hawke Writes",2020-09-01,article,Review,,['Books and Literature'],The New York Times,BookReview,651
"This 84-Year-Old Gamer Has More Than 900,000 ‘Grandkids’",2020-09-01,article,News,,['Computer and Video Games'],The New York Times,Styles,1080
A Salvadoran-American Assembles the Fragments of a Violent Cultural History,2020-09-01,article,Review,,"['Books and Literature', 'Salvadoran-Americans', 'War Crimes, Genocide and Crimes Against Humanity', 'Immigration and Emigration']",The New York Times,BookReview,1266
‘Sudden’ Cardiac Arrests Often Aren’t So Sudden,2020-09-01,article,News,,"['Hospitals', 'Heart']",The New York Times,Well,228
"Afraid of a Lurking Evil, a Writer Goes Down the Rabbit Hole",2020-09-01,article,Review,,['Books and Literature'],The New York Times,BookReview,1074
This Year Is Complicated. Three New Novels Remind Us the Past Was No Picnic Either.,2020-09-01,article,Review,,['Books and Literature'],The New York Times,BookReview,1010
"New & Noteworthy, From Netflix to Writers’ Writers",2020-09-01,article,News,,['Books and Literature'],The New York Times,BookReview,382
"Tested by Tragedy, Two Politicians Review Their Records — Mistakes Included",2020-09-01,article,Review,,"['Books and Literature', 'Newtown, Conn, Shooting (2012)', 'Gun Control', 'Mass Shootings', 'Demonstrations, Protests and Riots', 'Charlottesville, Va, Violence (August, 2017)', 'United States Politics and Government']",The New York Times,BookReview,1213
You’re Going to Want to Join this Odyssey Through Postwar Japan,2020-09-01,article,News,,['Books and Literature'],The New York Times,BookReview,867
"Set in Uganda, This Coming-of-Age Story Contains Universal Themes",2020-09-01,article,Review,,['Books and Literature'],The New York Times,BookReview,757
When America’s Cold War Strategy Turned Corrupt,2020-09-01,article,Review,,"['Books and Literature', 'Espionage and Intelligence Services', 'Cold War Era']",The New York Times,BookReview,1284
"Torn Between War and Art, a Journalist Chooses Both",2020-09-01,article,Review,,['Books and Literature'],The New York Times,BookReview,558
Where Is America’s Groundbreaking Covid-19 Research?,2020-09-01,article,Op-Ed,,"['Coronavirus (2019-nCoV)', 'Clinical Trials', 'Research']",The New York Times,OpEd,1181
Elena Ferrante Returns With ‘The Lying Life of Adults’,2020-09-01,article,Review,,['Books and Literature'],The New York Times,BookReview,1543
2020 U.S. Open: What to Watch on Tuesday,2020-09-01,article,News,,"['United States Open (Tennis)', 'Tennis']",The New York Times,Sports,1367
Trump Creates His Own ‘Deep State’,2020-09-01,article,Op-Ed,,"['Espionage and Intelligence Services', 'United States Politics and Government']",The New York Times,OpEd,1190
9 Major N.Y.C. Roads Get Lower Speed Limits as Traffic Deaths Surge,2020-09-01,article,News,,"['Traffic Accidents and Safety', 'Drunken and Reckless Driving', 'Coronavirus (2019-nCoV)', 'Roads and Traffic', 'Deaths (Fatalities)']",The New York Times,Metro,1217
New York City Delays Start of School to Ready for In-Person Classes,2020-09-01,article,News,,"['Coronavirus Reopenings', 'Education (K-12)', 'Shutdowns (Institutional)', 'Teachers and School Employees']",The New York Times,Metro,1782
We’re All Socially Awkward Now,2020-09-01,article,Op-Ed,,"['Loneliness', 'Coronavirus (2019-nCoV)', 'Quarantines', 'Social Conditions and Trends']",The New York Times,OpEd,1318
What We Learned From the R.N.C.,2020-09-01,article,News,,"['Presidential Election of 2020', 'Voting and Voters', 'Republican National Convention']",The New York Times,Summary,987
Why Alyssa Cole Put Romance Aside and Wrote a Thriller About Gentrification,2020-09-01,article,News,,"['Books and Literature', 'Writing and Writers', 'Gentrification', 'Black People', 'Blacks', 'Race and Ethnicity']",The New York Times,Weekend,1354
How to Stop the Next Pandemic,2020-09-01,multimedia,Video,,"['Coronavirus (2019-nCoV)', 'Nipah Virus', 'Lyme Disease', 'SARS (Severe Acute Respiratory Syndrome)', 'Wildlife Trade and Poaching', 'Epidemics', 'Forests and Forestry', 'Biodiversity', 'Land Use Policies']",The New York Times,,0
Young People Are Fighting Hunger and Finding Purpose,2020-09-01,article,News,,"['Food', 'Food Insecurity', 'Coronavirus (2019-nCoV)', 'Empathy', 'Volunteers and Community Service', 'Youth', 'Teenagers and Adolescence']",The New York Times,Well,1183
Who’s to Blame for the Pandemic?,2020-09-01,article,News Analysis,,"['Coronavirus (2019-nCoV)', 'Quarantines', 'Politics and Government', 'ANIMALS', 'Documentary Films and Programs', 'Population', 'Polls and Public Opinion']",The New York Times,Video,805
"As Guns Get Drawn at Protest Sites, Demonstrators Fear a Volatile New Phase",2020-09-01,article,News,,"['George Floyd Protests (2020)', 'Black Lives Matter Movement', 'Demonstrations, Protests and Riots', 'Murders, Attempted Murders and Homicides', 'Fringe Groups and Movements']",The New York Times,National,1732
Virtual Tours Are Here to Stay. This Is How to Do Them Right.,2020-09-01,article,News,,"['Real Estate and Housing (Residential)', 'Real Estate Brokers', 'Content Type: Service', 'Video Recordings, Downloads and Streaming', 'Quarantine (Life and Culture)', '3-D Devices and Effects']",The New York Times,RealEstate,1171
Help! What Are the Best Precautions When Traveling by Car?,2020-09-01,article,News,,"['Road Trips', 'Coronavirus Risks and Safety Concerns', 'Travel and Vacations', 'Content Type: Service', 'Bathrooms and Toilets', 'Hygiene and Cleanliness', 'Hotels and Travel Lodgings', 'Restaurants']",The New York Times,Business,1046
"What It Took to Free a Whale Entangled in 4,000 Pounds of Fishing Gear",2020-09-01,article,News,,"['Whales and Whaling', 'Endangered and Extinct Species']",The New York Times,Metropolitan,1119
Small-Business Failures Loom as Federal Aid Dries Up,2020-09-01,article,News,,"['Small Business', 'Coronavirus (2019-nCoV)', 'Shutdowns (Institutional)', 'Coronavirus Aid, Relief, and Economic Security Act (2020)', 'Stimulus (Economic)', 'United States Economy', 'Federal Aid (US)']",The New York Times,Business,1409
The Many Sides to Dan Brown,2020-09-01,article,News,,"['Writing and Writers', 'Books and Literature', 'Classical Music', 'Dressage (Equestrian Sport)', 'Divorce, Separations and Annulments']",The New York Times,Styles,2171
Trump Needs His Own Sister Souljah Moment,2020-09-01,article,Op-Ed,,"['George Floyd Protests (2020)', 'Presidential Election of 2020', 'Police Brutality, Misconduct and Shootings', 'Black Lives Matter Movement', 'United States Politics and Government', 'Polls and Public Opinion', 'Demonstrations, Protests and Riots', 'Black People', 'Blacks']",The New York Times,OpEd,1089
The State Fair Is Canceled. Deep-Fried Oreos Are Not.,2020-09-01,article,News,,"['State and County Fairs', 'Food Trucks and Vendors', 'Summer (Season)', 'Food', 'Restaurants', 'Shutdowns (Institutional)', 'Quarantine (Life and Culture)']",The New York Times,Dining,1673
The Forgotten Colonial Forces of World War II,2020-09-01,article,News,,"['Defense and Military Forces', 'World War II (1939-45)', 'Colonization', 'Secession and Independence Movements']",The New York Times,SpecialSections,1319
