headline,date,doc_type,material_type,section,keywords,source,news_desk,word_count
Biden Defends Afghan Pullout and Declares an End to Nation-Building,2021-09-01,article,News,,"['Speeches and Statements', 'Afghanistan War (2001- )', 'United States Defense and Military Forces', 'United States International Relations', 'United States Politics and Government', 'Evacuations and Evacuees']",The New York Times,Washington,1487
An Afghan Left Behind Tells His Story,2021-09-01,article,Op-Ed,,"['Afghanistan War (2001- )', 'International Relations', 'United States Defense and Military Forces']",The New York Times,OpEd,453
What Is Stefanos Tsitsipas Doing in the Bathroom During His Matches?,2021-09-01,article,News,,"['Tennis', 'United States Open (Tennis)']",The New York Times,Sports,1172
Goalball Teammates Set Paralympic Record for Longevity,2021-09-01,article,News,,"['Goalball', 'Olympic Games (2020)', 'Disabilities', 'Blindness', 'Content Type: Personal Profile', 'Paralympic Games', 'Records and Achievements']",The New York Times,Sports,1353
Developer Charged in Scheme to Bilk Matt Gaetz’s Family,2021-09-01,article,News,,"['United States Politics and Government', 'Frauds and Swindling', 'Amnesties, Commutations and Pardons']",The New York Times,Washington,663
Black Surfers Refuse to Be Excluded: ‘I Have a Right to Be on This Wave’,2021-09-01,multimedia,Interactive Feature,,"['Black People', 'Blacks', 'Surfing', 'Discrimination']",The New York Times,Sports,0
Biden Plays the Long Game as He Justifies the End of the ‘Forever War’,2021-09-01,article,News,,"['Afghanistan War (2001- )', 'Evacuations and Evacuees', 'United States Defense and Military Forces', 'United States International Relations', 'United States Politics and Government', 'Speeches and Statements']",The New York Times,Washington,1245
Wowza!,2021-09-01,article,News,,['Crossword Puzzles'],The New York Times,Games,1107
"Corrections: Sept. 01, 2021",2021-09-01,article,Correction,,[],The New York Times,Corrections,206
Novak Djokovic holds off Holger Rune in his first U.S. Open match.,2021-09-01,article,News,,"['Tennis', 'United States Open (Tennis)']",The New York Times,Sports,562
"Quotation of the Day: Spurning Critics, Biden Calls Exit Notable Success",2021-09-01,article,Quote,,[],The New York Times,Summary,24
Member of ISIS ‘Beatles’ Cell Plans to Plead Guilty in Abuse of Hostages,2021-09-01,article,News,,"['Terrorism', 'United States Politics and Government', 'Kidnapping and Hostages']",The New York Times,Washington,456
U.S.A. Gymnastics and Abuse Survivors Propose a $425 Million Payout,2021-09-01,article,News,,"['Gymnastics', 'Suits and Litigation (Civil)', 'Child Abuse and Neglect', 'Sex Crimes']",The New York Times,Sports,620
2021 U.S. Open: What to Watch on Wednesday,2021-09-01,article,News,,"['Tennis', 'United States Open (Tennis)']",The New York Times,Sports,504
Your Wednesday Briefing,2021-09-01,article,briefing,,[],The New York Times,Foreign,1091
"Europe, Afghanistan Is Your Wake-Up Call",2021-09-01,article,Op-Ed,,['Defense and Military Forces'],The New York Times,OpEd,887
"Supreme Court, Breaking Silence, Won’t Block Texas Abortion Law",2021-09-01,article,News,,"['Abortion', 'Law and Legislation', 'Roe v Wade (Supreme Court Decision)', ""Women's Rights"", 'State Legislatures', 'Suits and Litigation (Civil)', 'Decisions and Verdicts', 'United States Politics and Government']",The New York Times,Washington,1909
Spelling Bee Forum,2021-09-01,article,News,,[],The New York Times,Games,175
Sustainability Advocates Ask: Why Demolish When You Can Deconstruct?,2021-09-01,article,News,,"['Building (Construction)', 'Salvage', 'Waste Materials and Disposal', 'Sustainable Living', 'Real Estate (Commercial)']",The New York Times,Business,1294
Japan Needs a Lot More Tech Workers. Can It Find a Place for Women?,2021-09-01,article,News,,"['Women and Girls', 'Discrimination', 'Computers and the Internet', 'Engineering and Engineers', 'Labor and Jobs', 'Shortages', 'Politics and Government']",The New York Times,Business,1430
Why New York Lawmakers Are Holding a Special Session on Evictions,2021-09-01,article,briefing,,"['Evictions', 'State Legislatures', 'Landlords']",The New York Times,Metro,1041
An Impossible Task? New Zealand Tries to Eliminate Delta.,2021-09-01,article,News,,"['Coronavirus Delta Variant', 'Coronavirus (2019-nCoV)', 'Quarantines', 'Vaccination and Immunization']",The New York Times,Foreign,1086
Little Simz’s Big Moment,2021-09-01,article,News,,"['Rap and Hip-Hop', 'Music']",The New York Times,Culture,1340
What to Read: 4 Graphic Works,2021-09-01,multimedia,Interactive Feature,,"['Books and Literature', 'Comic Books and Strips']",The New York Times,Books,0
"Newly Published, From Water Statues to the Supreme Court",2021-09-01,article,News,,['Books and Literature'],The New York Times,BookReview,162
OPEC and other producers decide to keep adding to oil output.,2021-09-01,article,News,,"['Oil (Petroleum) and Gasoline', 'Production']",The New York Times,Business,481
The Secret to Raising a Resilient Kid,2021-09-01,article,News,,"['Parenting', 'audio-positive-happy', 'audio-neutral-informative']",The New York Times,Parenting,1203
How Far Can You Go to Resist Being the Subject of a Viral Video?,2021-09-01,article,News,,"['Video Recordings, Downloads and Streaming', 'Smartphones', 'Social Media', 'Privacy']",The New York Times,Magazine,1212
"A Holy-Grail, One-Pot Roast Chicken",2021-09-01,article,News,,['Cooking and Cookbooks'],The New York Times,Magazine,1035
I Never Knew How Golden My Summers Were,2021-09-01,article,Op-Ed,,"['Summer (Season)', 'Memory']",The New York Times,OpEd,878
"In the Eyes of God, Does a State Have the Right to Kill a Man?",2021-09-01,article,Op-Ed,,"['Capital Punishment', 'Protestant Churches', 'audio-negative-tragedy']",The New York Times,OpEd,317
College Football Looks to Fundamentals to Combat a 2020 Hangover,2021-09-01,article,News,,"['Football (College)', 'Coaches and Managers']",The New York Times,Sports,1171
How Rollers Became 2021’s Most Unexpected Hair Tool,2021-09-01,article,News,,"['Hair', 'Nineteen Hundred Nineties', 'Quarantine (Life and Culture)']",The New York Times,Styles,982
Airport Lounges: 7 Questions About Getting Back to Business,2021-09-01,article,News,,"['AIRLINES AND AIRPLANES', 'Airports', 'Travel and Vacations', 'Quarantine (Life and Culture)', 'Credit Cards', 'Coronavirus Reopenings']",The New York Times,Travel,1252
We Need to Start Traveling Again. Here’s How.,2021-09-01,article,Op-Ed,,"['Vaccination Proof and Immunization Records', 'Vaccination and Immunization', 'Travel Warnings', 'Quarantines', 'Travel and Vacations', 'Coronavirus (2019-nCoV)']",The New York Times,OpEd,1016
How Strong Is America’s Multiracial Democracy?,2021-09-01,article,Op-Ed,,"['Discrimination', 'Minorities', 'Race and Ethnicity', 'Black People', 'Blacks', 'Segregation and Desegregation', 'Polls and Public Opinion', 'Whites', 'United States Economy', 'Presidential Election of 2016', 'Income Inequality']",The New York Times,OpEd,2301
"Summer Days, Drifting Away",2021-09-01,article,News,,"['Summer (Season)', 'Bars and Nightclubs', 'Ice Cream and Frozen Desserts', 'Cocktails and Mixed Drinks', 'Alcoholic Beverages']",The New York Times,Metro,1772
Naomi Osaka on Tennis and Childhood: ‘Home Is Queens and These Courts’,2021-09-01,article,News,,"['Tennis', 'United States Open (Tennis)', 'Content Type: Personal Profile']",The New York Times,Metropolitan,957
She’s the Investor Guru for Online Creators,2021-09-01,article,News,,"['Venture Capital', 'Social Media', 'Entrepreneurship', 'Start-ups', 'Computers and the Internet', 'Video Recordings, Downloads and Streaming', 'Content Type: Personal Profile']",The New York Times,Business,1434
Is Brooklyn Leading New York City Out of the Pandemic?,2021-09-01,article,News,,"['Coronavirus (2019-nCoV)', 'Relocation of Business', 'Coronavirus Reopenings', 'Economic Conditions and Trends', 'Small Business']",The New York Times,Metro,1611
The Downtown Decade: U.S. Population Density Rose in the 2010s,2021-09-01,article,News,,"['Urban Areas', 'Population', 'Census', 'Two Thousand Tens (Decade)', 'Suburbs']",The New York Times,Upshot,705
"It’s Election Season in Germany. No Charisma, Please!",2021-09-01,article,News,,"['Politics and Government', 'Elections', 'Debates (Political)', 'Voting and Voters', 'Polls and Public Opinion', 'Legislatures and Parliaments']",The New York Times,Foreign,1388
Covert Evacuations and Planned Demolitions: How the C.I.A. Left Its Last Base in Afghanistan,2021-09-01,article,News,,"['Afghanistan War (2001- )', 'Espionage and Intelligence Services', 'Evacuations and Evacuees', 'Demolition', 'your-feed-visual-investigations']",The New York Times,Video,850
"Living In ... Rye Brook, N.Y.",2021-09-01,multimedia,Slideshow,,['Real Estate and Housing (Residential)'],The New York Times,Real Estate,0
Refugees Are Suffering. This Novelist Won’t Look Away.,2021-09-01,article,News,,"['Writing and Writers', 'Content Type: Personal Profile', 'Books and Literature', 'Refugees and Displaced Persons', 'Transgender and Transsexuals', 'Homosexuality and Bisexuality']",The New York Times,Weekend,1342
"Rye Brook, N.Y.: A ‘Low-Profile’ Village With Good Schools",2021-09-01,article,News,,"['Real Estate and Housing (Residential)', 'Content Type: Service']",The New York Times,RealEstate,1641
Arizona Banned School Mask Mandates. Now Some Kids Are Sick and Parents Are Angry.,2021-09-01,article,News,,"['Politics and Government', 'Governors (US)', 'Parenting', 'Masks', 'Education (K-12)', 'Coronavirus (2019-nCoV)', 'Vaccination and Immunization', 'Disease Rates']",The New York Times,National,1334
G.O.P. Election Reviews Create a New Kind of Security Threat,2021-09-01,article,News,,"['Presidential Election of 2020', 'State Legislatures', 'Computer Security', 'Voting Machines', 'Infrastructure (Public Works)', 'Voting and Voters', 'Voter Fraud (Election Fraud)', 'Conspiracy Theories', 'Rumors and Misinformation', 'United States Politics and Government']",The New York Times,Politics,1722
An Artist Who Brings Order to Chaos,2021-09-01,article,News,,"['Black People', 'Blacks', 'Art', 'Movies', 'Black Lives Matter Movement', 'Race and Ethnicity', 'Coronavirus (2019-nCoV)', 'Content Type: Personal Profile']",The New York Times,Arts&Leisure,1534
‘I Helped Destroy People’,2021-09-01,article,News,,"['Content Type: Personal Profile', 'Terrorism', 'Surveillance of Citizens by Government', 'Muslim Americans', 'Espionage and Intelligence Services', 'Classified Information and State Secrets', 'September 11 (2001)', 'Race and Ethnicity', 'Wiretapping and Other Eavesdropping Devices and Methods', 'Civil Rights and Liberties', 'Ethics and Official Misconduct']",The New York Times,Magazine,12705
"Joining Plastic, Glass and Metal on the Recycle List: Fake Art",2021-09-01,article,News,,"['Art', 'Forgery']",The New York Times,Culture,1737
Afghanistan Before the Fall,2021-09-01,article,News,,['Afghanistan War (2001- )'],The New York Times,Foreign,56
The Taliban are poised to name a supreme leader and map out their government.,2021-09-01,article,News,,[],The New York Times,Foreign,466
Hurricane Larry Brings Snow to Parts of Greenland,2021-09-01,article,News,,"['Hurricanes and Tropical Storms', 'Weather', 'Global Warming']",The New York Times,Express,931
Pandemics Get Forgotten. But Not at This Museum.,2021-09-01,article,News,,"['Museums', 'Medicine and Health', 'Epidemics', 'Hygiene and Cleanliness', 'Holocaust and the Nazi Era']",The New York Times,Culture,1169
New Zealand struggles as it tries to eliminate the Delta variant.,2021-09-01,article,News,,[],The New York Times,Foreign,312
"Kenny Malone, a premier drummer for top Nashville names, dies of Covid.",2021-09-01,article,News,,[],The New York Times,Foreign,239
Five Missing After Navy Helicopter Crashes Near San Diego,2021-09-01,article,News,,"['Helicopters', 'Aviation Accidents, Safety and Disasters', 'United States Defense and Military Forces', 'Rescues']",The New York Times,Express,269
The Education Lost to the Pandemic,2021-09-01,article,News,,"['Education (K-12)', 'Shutdowns (Institutional)', 'Coronavirus (2019-nCoV)', 'audio-neutral-informative']",The New York Times,Podcasts,306
Why You Should Do Your Spring Planting in the Fall,2021-09-01,article,News,,"['Gardens and Gardening', 'Birds', 'Butterflies and Moths', 'Content Type: Service', 'Autumn (Season)']",The New York Times,RealEstate,1547
How Language Classes Are Moving Past the Gender Binary,2021-09-01,article,News,,"['Language and Languages', 'Gender', 'Transgender and Transsexuals', 'Education', 'English Language', 'Spanish Language', 'French Language', 'Hebrew Language']",The New York Times,Games,1207
Ida’s wind-driven remnants pummel the New York City region.,2021-09-01,article,News,,"['Hurricane Ida (2021)', 'Floods']",The New York Times,Express,1242
Has Delta Peaked?,2021-09-01,article,briefing,,[],The New York Times,NYTNow,1604
Meet the Spotted Skunks. They’ve Been Keeping a Secret From Us.,2021-09-01,article,News,,"['SKUNKS', 'Reproduction (Biological)', 'DNA (Deoxyribonucleic Acid)', 'Research', 'your-feed-science', 'your-feed-animals']",The New York Times,Science,740
What if the Coronavirus Crisis Is Just a Trial Run?,2021-09-01,article,Op-Ed,,"['Coronavirus (2019-nCoV)', 'United States International Relations', 'Public-Private Sector Cooperation', 'United States Politics and Government', 'Vaccination and Immunization', 'Banking and Financial Institutions', 'Politics and Government', 'Economic Conditions and Trends', 'Epidemics', 'International Trade and World Market']",The New York Times,OpEd,1824
He Confronted a Reporter Live on the Air. Now He’s in Custody.,2021-09-01,article,News,,"['News and News Media', 'Television', 'Hurricane Ida (2021)', 'Assaults']",The New York Times,Express,654
"Novak Djokovic Is Sensitive, Even When the Crowd’s Not Against Him",2021-09-01,article,News,,"['Tennis', 'United States Open (Tennis)']",The New York Times,Sports,1347
When Will Offices Be Full Again?,2021-09-01,article,News,,"[""Standard & Poor's 500-Stock Index"", 'Coronavirus (2019-nCoV)', 'Coronavirus Reopenings', 'Securities and Commodities Violations', 'Stocks and Bonds']",The New York Times,Business,1681
New surveys show how pandemic workplace policies are shifting.,2021-09-01,article,News,,"['Coronavirus (2019-nCoV)', 'Coronavirus Reopenings', 'Business Travel', 'Vaccination and Immunization', 'Workplace Environment']",The New York Times,Business,403
Suddenly the Yankees Are Streaking in the Wrong Direction,2021-09-01,article,News,,['Baseball'],The New York Times,Sports,902
"Unvaccinated Americans should avoid Labor Day travel, the C.D.C. director says.",2021-09-01,article,News,,"['Labor Day', 'Coronavirus (2019-nCoV)', 'Vaccination and Immunization', 'Travel and Vacations']",The New York Times,Express,298
Pope Criticizes Western Intervention in Afghanistan,2021-09-01,article,News,,"['Politics and Government', 'Middle East and Africa Migrant Crisis', 'United States International Relations', 'Child Abuse and Neglect']",The New York Times,Foreign,569
A Young Serbian Player Has a Not-So-Secret Weapon: Novak Djokovic,2021-09-01,article,News,,"['Tennis', 'United States Open (Tennis)', 'Content Type: Personal Profile']",The New York Times,Sports,550
