headline,date,doc_type,material_type,section,keywords,source,news_desk,word_count
"Glum to Gleeful, Israeli Media React to Possible End of Netanyahu Era",2021-06-01,article,News,,[],The New York Times,Foreign,984
Serena Williams Wins in the First Round at the French Open,2021-06-01,article,News,,"['French Open (Tennis)', 'Tennis']",The New York Times,Sports,722
Illinois Lawmakers Bar Police From Using Deception When Interrogating Minors,2021-06-01,article,News,,"['Confessions', 'State Legislatures', 'False Arrests, Convictions and Imprisonments', 'Interrogations', 'Criminal Justice', 'Youth']",The New York Times,Express,880
With the Candlestick in the Study,2021-06-01,article,News,,['Crossword Puzzles'],The New York Times,Games,658
How Do Animals Safely Cross a Highway? Take a Look.,2021-06-01,multimedia,Interactive Feature,,"['ANIMALS', 'Animal Migration', 'Roads and Traffic', 'Traffic Accidents and Safety', 'States (US)']",The New York Times,Climate,0
Quotation of the Day: Shops Along Ponte Vecchio Longingly Wait for Tourists,2021-06-01,article,Quote,,[],The New York Times,Summary,41
"Corrections: June 1, 2021",2021-06-01,article,Correction,,[],The New York Times,Corrections,203
Your Tuesday Briefing,2021-06-01,article,briefing,,[],The New York Times,Foreign,1454
‘For My People’: A Transgender Woman Pursues an Olympic Dream,2021-06-01,article,News,,"['Track and Field', 'Olympic Games (2020)', 'Transgender and Transsexuals', 'Content Type: Personal Profile']",The New York Times,Sports,1481
Australia’s softball players are among the first Olympic athletes to arrive in Japan.,2021-06-01,article,News,,"['internal-essential', 'Olympic Games', 'Softball', 'Athletics and Sports', 'Coronavirus (2019-nCoV)']",The New York Times,Foreign,345
Something Bothering You? Tell It to Woebot.,2021-06-01,article,News,,"['Therapy and Rehabilitation', 'Anxiety and Stress', 'Mental Health and Disorders', 'Psychology and Psychologists', 'Artificial Intelligence', 'Mobile Applications', 'Depression (Mental)', 'Psychiatry and Psychiatrists']",The New York Times,Science,2390
Four Lessons From Your Anxious Brain,2021-06-01,article,News,,"['Content Type: Service', 'Quarantine (Life and Culture)', 'Anxiety and Stress', 'Habits and Routines (Behavior)', 'Coronavirus (2019-nCoV)', 'Brain']",The New York Times,Well,1477
Why a New Mexico House Race Is a Crucial Test of the G.O.P. Focus on Crime,2021-06-01,article,News,,"['United States Politics and Government', 'Elections, House of Representatives', 'Police Reform', 'Race and Ethnicity']",The New York Times,Politics,1466
"Will the Excelsior Pass, New York’s Vaccine Passport, Catch On?",2021-06-01,article,News,,"['Vaccination Proof and Immunization Records', 'Coronavirus (2019-nCoV)', 'Bars and Nightclubs', 'Mobile Applications', 'Vaccination and Immunization', 'Privacy', 'Identification Devices']",The New York Times,Metro,1466
China Wants More Babies. Some Men Choose Vasectomies.,2021-06-01,article,News,,"['Vasectomy', 'Birth Control and Family Planning', 'Population', 'Single Persons', 'Sterilization (Reproductive)', 'Census', 'Parenting']",The New York Times,Foreign,1339
There’s a Sexual Assault Crisis in the Military. Congress Can Stop It.,2021-06-01,multimedia,Video,,"['United States Politics and Government', 'United States Defense and Military Forces', 'Sex Crimes', 'your-feed-opinionvideo']",The New York Times,,0
The Young Activist and the Atlanta Bar That Shaped Queer History,2021-06-01,article,Review,,"['Books and Literature', 'Homosexuality and Bisexuality']",The New York Times,BookReview,667
"Drew Pearson, the Muckraking Journalist With the Bully Pulpit",2021-06-01,article,Review,,"['Books and Literature', 'News and News Media', 'Content Type: Personal Profile', 'United States Politics and Government']",The New York Times,BookReview,641
Breaking Out of Prison With a Ouija Board and Some Clever Tricks,2021-06-01,article,Review,,"['Books and Literature', 'World War I (1914-18)', 'Ottoman Empire', 'Prison Escapes', 'Prisoners of War']",The New York Times,BookReview,1040
Kristen Arnett’s Latest Subjects Are the Lesbian Parents of an Autistic-Coded Son,2021-06-01,article,Review,,['Books and Literature'],The New York Times,BookReview,642
Who Can You Count On? And Other Unanswerable but Alluring Questions.,2021-06-01,article,Review,,['Books and Literature'],The New York Times,BookReview,667
"As Venice Floods, a Lush, Malice-Infused Mystery Unfolds",2021-06-01,article,Review,,['Books and Literature'],The New York Times,BookReview,1060
All the World Needs Is a Glowing Blue Supermetal From Space,2021-06-01,article,Review,,['Books and Literature'],The New York Times,BookReview,642
Nicola Yoon’s New Book Is a Romance About a Teenager Who Doesn’t Believe in Love,2021-06-01,article,Review,,['Books and Literature'],The New York Times,BookReview,650
Ben Rhodes Takes a Gloomy Tour of the World,2021-06-01,article,Review,,"['Books and Literature', 'Politics and Government', 'United States Politics and Government']",The New York Times,BookReview,632
Michelle Orange Tackles a Writerly Taboo: Her Mother,2021-06-01,article,Review,,"['Books and Literature', 'Women and Girls', 'Families and Family Life', 'Content Type: Personal Profile']",The New York Times,BookReview,846
Master the Art of the Toast,2021-06-01,article,News,,"['Books and Literature', 'Customs, Etiquette and Manners']",The New York Times,Dining,179
"In César Aira’s World, Life Is a Series of Chance Encounters",2021-06-01,article,Review,,['Books and Literature'],The New York Times,BookReview,619
