headline,date,doc_type,material_type,section,keywords,source,news_desk,word_count
North Carolina to Investigate After Concerns Raised at Children’s Hospital,2019-06-01,article,News,,"['Hospitals', 'Children and Childhood', 'Heart', 'Surgery and Surgeons']",The New York Times,Investigative,574
A New Threat From Trump and Old Questions About Its Effectiveness,2019-06-01,article,News Analysis,,"['United States International Relations', 'Illegal Immigration', 'Asylum, Right of', 'United States Politics and Government', 'International Trade and World Market', 'Customs (Tariff)']",The New York Times,Washington,1245
"There Are 472,000 Words in the Dictionary. For the Spelling Bee, That May Not Be Enough.",2019-06-01,article,News,,"['Scripps National Spelling Bee', 'Spelling', 'Coaches and Managers', 'Education (K-12)', 'Indian-Americans']",The New York Times,National,1194
What to Watch Today at the French Open,2019-06-01,article,News,,"['Tennis', 'French Open (Tennis)']",The New York Times,Sports,460
Let’s Hear It for the Average Child,2019-06-01,article,News,,"['Children and Childhood', 'Education', 'Awards, Decorations and Honors', 'Parenting']",The New York Times,OpEd,944
"Army Corps Under Fire: In a Flood, It Released More Water",2019-06-01,article,News,,"['Floods', 'Levees and Dams', 'Weather', 'Rivers']",The New York Times,National,1691
"Justice Dept. Keeps Wiretaps Secret in Flynn Case, Rejecting Judge’s Order",2019-06-01,article,News,,"['Wiretapping and Other Eavesdropping Devices and Methods', 'Russian Interference in 2016 US Elections and Ties to Trump Associates', 'United States Politics and Government', 'Presidential Election of 2016', 'Special Prosecutors (Independent Counsel)']",The New York Times,Washington,1014
The High Church of the Low Blow,2019-06-01,article,Op-Ed,,"['Conservatism (US Politics)', 'United States Politics and Government']",The New York Times,OpEd,882
"Trump to Give Arthur Laffer, Tax-Cut Champion, the Presidential Medal of Freedom",2019-06-01,article,News,,"['Taxation', 'United States Economy', 'United States Politics and Government', 'Presidential Medal of Freedom', 'Economics (Theory and Philosophy)', 'Awards, Decorations and Honors']",The New York Times,Business,508
Justice Dept. Explores Google Antitrust Case,2019-06-01,article,News,,['Antitrust Laws and Competition Issues'],The New York Times,Business,777
"N.S.A. Denies Its Cyberweapon Was Used in Baltimore Attack, Congressman Says",2019-06-01,article,News,,"['Cyberwarfare and Defense', 'Cyberattacks and Hackers', 'Computer Security', 'Classified Information and State Secrets', 'Espionage and Intelligence Services']",The New York Times,Investigative,664
"Corrections: June 1, 2019",2019-06-01,article,Correction,,[],The New York Times,Corrections,258
Takes Heat From,2019-06-01,article,News,,['Crossword Puzzles'],The New York Times,Games,621
"El Paso Immigration Center Is Dangerously Overcrowded, Inspector General Warns",2019-06-01,article,News,,"['Illegal Immigration', 'Immigration and Emigration', 'Immigration Detention', 'Inspectors General']",The New York Times,Express,704
Trump Administration Strips India of Special Trade Status,2019-06-01,article,News,,"['United States International Relations', 'International Trade and World Market', 'Customs (Tariff)', 'Protectionism (Trade)']",The New York Times,Business,557
Quotation of the Day: Push to End Penalties for Oldest Profession,2019-06-01,article,Quote,,[],The New York Times,Summary,60
"Prosecutors, Wary of Appearances, Deliberated On How to Explain Smollett Decision",2019-06-01,article,News,,['Hate Crimes'],The New York Times,Culture,1043
On Politics: The Biggest Stories of the Week,2019-06-01,article,News,,['United States Politics and Government'],The New York Times,Politics,811
Alexander Wang: Spring 2020,2019-06-01,multimedia,Slideshow,,[],The New York Times,Fashion & Style,0
What’s on TV Saturday: ‘Ask Dr. Ruth’ and ‘Bad Times at the El Royale’,2019-06-01,article,News,,"['Movies', 'Television']",The New York Times,Culture,464
The Week in Arts: Idris Elba Revives Luther; Margaret Thatcher Sees the Queen,2019-06-01,article,News,,"['Music', 'Movies', 'Dancing', 'Art']",The New York Times,Culture,1197
"‘Balkan Spring’ Turns to Summer, and Hopes for Change Dim",2019-06-01,article,News,,"['Politics and Government', 'Corruption (Institutional)', 'Foreign Investments', 'Travel and Vacations', 'Demonstrations, Protests and Riots']",The New York Times,Foreign,1286
The Doctor Who Stayed Behind to Save Babies in His Long-Suffering Homeland,2019-06-01,article,News,,"['Children and Childhood', 'Malnutrition', 'Doctors', 'Hospitals', 'your-feed-photojournalism']",The New York Times,Foreign,1407
Fact-Checking Elizabeth Warren on the Campaign Trail,2019-06-01,article,News,,"['Medical Marijuana', 'United States Politics and Government', 'Colleges and Universities', 'Polls and Public Opinion', 'United States Economy', 'Wages and Salaries', 'Student Loans']",The New York Times,National,1317
Elizabeth Gilbert’s ‘City of Girls’ Delivers a Love- and Booze-Filled Romp Through 1940s New York,2019-06-01,article,Review,,['Books and Literature'],The New York Times,BookReview,1221
"In the Kentucky Governor’s Race, It’s an Unpopular Man vs. an Unpopular Party",2019-06-01,article,News,,"['Elections, Governors', 'Politics and Government']",The New York Times,National,1291
What Kenan Thompson Can’t Travel Without,2019-06-01,article,News,,['Travel and Vacations'],The New York Times,Travel,605
How Can I Avoid a Rent Increase?,2019-06-01,article,News,,"['Real Estate and Housing (Residential)', 'Rent Control and Stabilization', 'Renting and Leasing (Real Estate)']",The New York Times,RealEstate,405
Champions League Final Preview: Liverpool or Tottenham?,2019-06-01,article,News,,"['UEFA Champions League (Soccer)', 'Soccer']",The New York Times,Sports,661
11 of Our Best Weekend Reads,2019-06-01,article,News,,"['Shutdowns (Institutional)', 'Citizenship and Naturalization']",The New York Times,Culture,492
"Hotel Review: Kartrite Resort & Indoor Waterpark, Monticello, N.Y.",2019-06-01,article,News,,"['Travel and Vacations', 'AMUSEMENT AND THEME PARKS', 'Hotels and Travel Lodgings']",The New York Times,Travel,927
Man Who Posed as Saudi Prince and Defrauded Investors Out of $8 Million Is Sent to Prison,2019-06-01,article,News,,"['Frauds and Swindling', 'Securities and Commodities Violations', 'Identity Theft']",The New York Times,Express,999
"As Trade War Spreads to Mexico, Companies Lose a Safe Harbor",2019-06-01,article,News,,"['International Trade and World Market', 'Customs (Tariff)', 'United States Economy', 'Oil (Petroleum) and Gasoline', 'Automobiles', 'Agriculture and Farming', 'Prices (Fares, Fees and Rates)', 'Natural Gas', 'Medical Devices', 'United States International Relations']",The New York Times,Business,1752
5 Writers on the Summers They Will Never Forget,2019-06-01,article,News,,"['Summer (Season)', 'Writing and Writers']",The New York Times,Magazine,4584
"After SpaceX Starlink Launch, a Fear of Satellites That Outnumber All Visible Stars",2019-06-01,article,News,,"['Space and Astronomy', 'Satellites', 'Stars and Galaxies', 'Research', 'Telescopes and Observatories', 'Private Spaceflight', 'Computers and the Internet', 'Radio']",The New York Times,Science,1456
A ‘Leap of Faith’ for Two Scholars of Theology,2019-06-01,article,News,,['Weddings and Engagements'],The New York Times,Styles,636
With the Blessing of a Power Ranger,2019-06-01,article,News,,['Weddings and Engagements'],The New York Times,Styles,489
A Golf Lesson With Bridget Moynahan,2019-06-01,article,News,,['Golf'],The New York Times,Styles,865
A Conversation With the ‘Queen of Cake’,2019-06-01,article,News,,"['Cakes', 'Weddings and Engagements']",The New York Times,Styles,952
The Paparazzi Staked Outside Ivanka Trump and Jared Kushner’s D.C. Home,2019-06-01,article,News,,"['United States Politics and Government', 'Celebrities', 'News and News Media']",The New York Times,Styles,1155
Pope Francis Seeks to Mend Open Wounds With Orthodox Church in Romania,2019-06-01,article,News,,['Religion and Belief'],The New York Times,Foreign,1264
