headline,date,doc_type,material_type,section,keywords,source,news_desk,word_count
How to End a Forever War,2020-12-01,article,Editorial,,"['Afghanistan War (2001- )', 'Terrorism', 'Peace Process', 'United States International Relations', 'United States Defense and Military Forces']",The New York Times,Editorial,1069
"Citing Pardon, Justice Dept. Asks Judge to ‘Immediately’ Dismiss Flynn Case",2020-12-01,article,News,,"['Russian Interference in 2016 US Elections and Ties to Trump Associates', 'Amnesties, Commutations and Pardons', 'United States Politics and Government', 'Special Prosecutors (Independent Counsel)']",The New York Times,Washington,606
"As Trump Attacks Georgia Republicans, Party Worries About Senate Races",2020-12-01,article,News,,"['Presidential Election of 2020', 'Elections, Senate', 'United States Politics and Government']",The New York Times,Politics,1634
Biden’s Inauguration: Expect Smaller Crowds and More Social Distancing,2020-12-01,article,News,,"['Inaugurations', 'Presidents and Presidency (US)', 'Presidential Transition (US)', 'Presidential Election of 2020', 'United States Politics and Government', 'Coronavirus (2019-nCoV)', 'Coronavirus Risks and Safety Concerns']",The New York Times,Washington,1554
"Thank You, Justice Gorsuch",2020-12-01,article,Op-Ed,,"['Constitution (US)', 'Places of Worship']",The New York Times,OpEd,878
De Blasio Has Actually Got Something Right,2020-12-01,article,Op-Ed,,"['Coronavirus Reopenings', 'Education (K-12)', 'Teachers and School Employees', 'Mayors']",The New York Times,OpEd,885
Quotation of the Day: U.S. Faces a New Crisis: ‘An Extreme Level of Teacher Burnout’,2020-12-01,article,Quote,,[],The New York Times,Summary,47
"Corrections: Dec. 1, 2020",2020-12-01,article,Correction,,[],The New York Times,Corrections,394
"Dr. Atlas, Trump’s coronavirus adviser, resigns.",2020-12-01,article,News,,['internal-essential'],The New York Times,Washington,348
"Scott Atlas, a Trump Coronavirus Adviser, Resigns",2020-12-01,article,News,,"['Coronavirus (2019-nCoV)', 'United States Politics and Government', 'Appointments and Executive Changes']",The New York Times,Washington,659
"Navy Won’t Repair Fire-Damaged Warship, Saying It Would Cost Billions",2020-12-01,article,News,,"['Ships and Shipping', 'Arson', 'Maritime Accidents and Safety', 'USS Bonhomme Richard (LHD-6) (Ship)', 'United States Defense and Military Forces', 'Fires and Firefighters']",The New York Times,Express,586
‘That Just About Sums Things Up’,2020-12-01,article,News,,['Crossword Puzzles'],The New York Times,Games,731
Your Tuesday Briefing,2020-12-01,article,briefing,,[],The New York Times,NYTNow,1530
Trump Raises $170 Million as He Denies His Loss and Eyes the Future,2020-12-01,article,News,,"['Presidential Election of 2020', 'Campaign Finance', 'Political Action Committees']",The New York Times,Politics,546
How a Mysterious Monolith Vanished Overnight (It Wasn’t Aliens),2020-12-01,article,News,,"['Sculpture', 'Deserts', 'Federal Lands', 'Art']",The New York Times,Culture,1099
Los Angeles Reverses Decision to Close Virus Testing Site for a Film Shoot,2020-12-01,article,News,,['Shutdowns (Institutional)'],The New York Times,Culture,445
Word + Quiz: bildungsroman,2020-12-01,article,News,,[],The New York Times,Learning,293
"Bank Robbers in Brazil Terrorize a Sleepy City, Overpowering Police",2020-12-01,article,News,,"['Bank Robberies', 'Organized Crime']",The New York Times,Foreign,1023
"Late Night Reels as Joe Biden Gets the Boot, Too",2020-12-01,article,News,,[],The New York Times,Culture,567
"He Was a Stick, She Was a Leaf; Together They Made History",2020-12-01,article,News,,"['your-feed-science', 'your-feed-animals', 'Insects', 'Reproduction (Biological)', 'Research', 'Museums']",The New York Times,Science,1206
Best Books?,2020-12-01,article,News,,[],The New York Times,Learning,191
Can the Giants’ Tenuous Grasp of the N.F.C. East Hold?,2020-12-01,article,News,,"['Football', 'Coaches and Managers']",The New York Times,Sports,874
This Los Angeles Team Wants to Diversify Cycling. They’re Starting With Its Podiums.,2020-12-01,article,News,,"['Cycling, Road', 'Black People', 'Blacks', 'Race and Ethnicity']",The New York Times,Sports,1261
