headline,date,doc_type,material_type,section,keywords,source,news_desk,word_count
"A Better Year for Trump’s Family Business (Last Year, That Is)",2020-08-01,article,News,,"['Coronavirus (2019-nCoV)', 'Hotels and Travel Lodgings', 'United States Politics and Government', 'Shutdowns (Institutional)', 'Real Estate (Commercial)', 'Company Reports']",The New York Times,Investigative,1187
Court Frees Michigan Teen Who Was Held for Skipping Online Schoolwork,2020-08-01,article,News,,"['Juvenile Delinquency', 'Decisions and Verdicts', 'Children and Childhood']",The New York Times,Express,543
Federal Agents Don’t Need Army Fatigues,2020-08-01,article,Editorial,,"['Demonstrations, Protests and Riots', 'Camouflage', 'Uniforms', 'Federal-State Relations (US)']",The New York Times,Editorial,517
Canada’s Key Role in Creating a Once Awaited Vaccine,2020-08-01,article,News,,['Vaccination and Immunization'],The New York Times,Foreign,1104
Quotation of the Day: China Wields Its Security Law to Crush Hong Kong Dissent,2020-08-01,article,Quote,,[],The New York Times,Summary,42
"Corrections: Aug. 1, 2020",2020-08-01,article,Correction,,[],The New York Times,Corrections,78
What’s on TV Saturday: ‘Seeing America With Megan Rapinoe’ and ‘The Last Narc’,2020-08-01,article,News,,"['Television', 'Movies']",The New York Times,Culture,499
"A School Reopens, and the Coronavirus Creeps In",2020-08-01,article,News,,"['Education (K-12)', 'Coronavirus Reopenings', 'Coronavirus (2019-nCoV)', 'Teachers and School Employees']",The New York Times,National,1288
"Edmonton, ‘City of Champions,’ Readies for a Hockey Marathon",2020-08-01,article,News,,"['Hockey, Ice', 'Coronavirus Reopenings', 'Playoff Games', 'Coronavirus (2019-nCoV)']",The New York Times,Sports,1120
"Yasmin Monet Prince, a New Action Heroine",2020-08-01,article,News,,['ACTORS AND ACTRESSES'],The New York Times,Styles,410
"Trump’s Approval Rating, Biden V.P. Search: The Latest in the 2020 Race",2020-08-01,article,News,,"['Presidential Election of 2020', 'Coronavirus (2019-nCoV)']",The New York Times,Politics,1541
Make Pizza … On Your Grill,2020-08-01,article,News,,"['Quarantine (Life and Culture)', 'Pizza', 'Cooking and Cookbooks', 'Content Type: Service']",The New York Times,AtHome,707
How Woody Vines Do the Twist,2020-08-01,article,News,,"['Trees and Shrubs', 'Forests and Forestry', 'your-feed-science']",The New York Times,Science,689
The Little Fraught Schoolhouse,2020-08-01,article,News,,"['Education (K-12)', 'Private and Sectarian Schools', 'Children and Childhood', 'Coronavirus Reopenings', 'Coronavirus (2019-nCoV)', 'High Net Worth Individuals', 'Second Homes and Non-Primary Residences']",The New York Times,Styles,1712
Why a Data Breach at a Genealogy Site Has Privacy Experts Worried,2020-08-01,article,News,,"['Genealogy', 'Forensic Science', 'Genetics and Heredity', 'Computer Security', 'DNA (Deoxyribonucleic Acid)', 'Computers and the Internet', 'Cyberattacks and Hackers', 'Murders, Attempted Murders and Homicides']",The New York Times,Express,1330
"Can Humans Give Coronavirus to Bats, and Other Wildlife?",2020-08-01,article,News,,"['Coronavirus (2019-nCoV)', 'Bats', 'your-feed-science']",The New York Times,Science,924
Law to Reduce Crack Cocaine Sentences Leaves Some Imprisoned,2020-08-01,article,News,,"['Mandatory Sentencing', 'Cocaine and Crack Cocaine', 'Criminal Justice', 'Drug Abuse and Traffic', 'Prisons and Prisoners', 'Law and Legislation', 'Probation and Parole', 'Sentences (Criminal)', 'Black People', 'Blacks']",The New York Times,Washington,1479
The War on Frats,2020-08-01,article,News,,"['Fraternities and Sororities', 'Colleges and Universities', 'George Floyd Protests (2020)', 'Discrimination', 'Race and Ethnicity', 'Social Media', 'your-feed-selfcare']",The New York Times,Styles,2380
‘Cocktails and Masks Don’t Really Go Together’,2020-08-01,article,News,,"['Masks', 'Coronavirus (2019-nCoV)', 'Bars and Nightclubs']",The New York Times,Foreign,1403
"Like Old Hollywood Movies, Video Games Get a Polish for New Audiences",2020-08-01,article,News,,"['Computer and Video Games', 'Video Recordings, Downloads and Streaming', 'PlayStation (Video Game System)']",The New York Times,Business,1223
Body Bags and Enemy Lists: How Far-Right Police Officers and Ex-Soldiers Planned for ‘Day X’,2020-08-01,article,News,,"['Neo Nazi Groups', 'Fringe Groups and Movements', 'Murders, Attempted Murders and Homicides']",The New York Times,Foreign,3142
Tammy Duckworth Is Nothing and Everything Like Joe Biden,2020-08-01,article,News,,"['Presidential Election of 2020', 'Vice Presidents and Vice Presidency (US)', 'Veterans', 'United States Defense and Military Forces']",The New York Times,Politics,3011
"12 People in a 3-Bedroom House, Then the Virus Entered the Equation",2020-08-01,article,News,,"['Real Estate and Housing (Residential)', 'Renting and Leasing (Real Estate)', 'Affordable Housing', 'Coronavirus (2019-nCoV)', 'Quarantines', 'Labor and Jobs', 'Income Inequality', 'Service Industries', 'Urban Areas']",The New York Times,SundayBusiness,2743
This Sledding Team Trained Hard for Gold in 2010. Some Members Regret It.,2020-08-01,article,News,,"['Skeleton (Sport)', 'Traumatic Brain Injury', 'Concussions', 'Olympic Games (2010)', 'Mental Health and Disorders']",The New York Times,Sports,1597
Indian Billionaires Bet Big on Head Start in Coronavirus Vaccine Race,2020-08-01,article,News,,"['Vaccination and Immunization', 'Coronavirus (2019-nCoV)', 'Clinical Trials']",The New York Times,Foreign,1825
The Strange Lives of Objects in the Coronavirus Era,2020-08-01,article,News,,"['Archives and Records', 'Design', 'Collectors and Collections', 'Museums', 'Coronavirus (2019-nCoV)', 'Quarantine (Life and Culture)']",The New York Times,Arts&Leisure,1161
"Iran Will Expand Nuclear Program and Won’t Talk to U.S., Ayatollah Says",2020-08-01,article,News,,"['Embargoes and Sanctions', 'United States International Relations', 'Nuclear Weapons']",The New York Times,Foreign,668
"Infections Swamp the U.S., Which Recorded 42% of All Its Coronavirus Cases in July",2020-08-01,article,News,,['Coronavirus (2019-nCoV)'],The New York Times,Sports,5873
"Italy Draws a Line Under Genoa Tragedy, Shunting Aside the Benettons",2020-08-01,article,News,,"['Politics and Government', 'Infrastructure (Public Works)', 'Bridges and Tunnels', 'Privatization', 'Roads and Traffic', 'Tolls', 'Regulation and Deregulation of Industry']",The New York Times,Foreign,1400
Isaias Churns Toward Florida After Hitting Bahamas,2020-08-01,article,News,,"['Hurricanes and Tropical Storms', 'Coronavirus (2019-nCoV)']",The New York Times,National,1822
The Magic of Baked Feta,2020-08-01,article,News,,[],The New York Times,Dining,43
"Robert Gnaizda, Lawyer Who Fought for Social Justice, Dies at 83",2020-08-01,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Suits and Litigation (Civil)', 'Black People', 'Blacks', 'Race and Ethnicity', 'Civil Rights Movement (1954-68)', 'Legal Profession', 'Banking and Financial Institutions']",The New York Times,Obits,1122
"Ethiopian Workers Are Forced to Return Home, Some With Coronavirus",2020-08-01,article,News,,"['Coronavirus (2019-nCoV)', 'Foreign Workers', 'Migrant Labor (Non-Agriculture)', 'Immigration and Emigration', 'Quarantines']",The New York Times,Foreign,1248
Spend Time with Shakespeare’s Family and Try a Taste Test,2020-08-01,article,News,,['Quarantine (Life and Culture)'],The New York Times,AtHome,616
How Do I Get My Landlord to Follow Covid-19 Rules?,2020-08-01,article,News,,"['Real Estate and Housing (Residential)', 'Coronavirus (2019-nCoV)', 'Coronavirus Reopenings', 'Coronavirus Risks and Safety Concerns']",The New York Times,RealEstate,480
"Under Pressure, Brazil’s Bolsonaro Forced to Fight Deforestation",2020-08-01,article,News,,"['Forests and Forestry', 'Wildfires', 'Environment', 'Indigenous People']",The New York Times,Foreign,1290
