headline,date,doc_type,material_type,section,keywords,source,news_desk,word_count
Debate Night 2: Join Our Live Chat,2019-08-01,article,News,,['United States Politics and Government'],The New York Times,Politics,173
Joe Biden and Kamala Harris Got the Most Speaking Time During the Democratic Debate,2019-08-01,multimedia,Interactive Feature,,['Presidential Election of 2020'],The New York Times,U.S.,0
"At Trade Deadline, the Mets Keep Their Arms and Vow to Contend",2019-08-01,article,News,,"['Baseball', 'Trades (Sports)']",The New York Times,Sports,745
The Yankees’ Trade Deadline Haul? A 20-Year-Old Pitching Prospect,2019-08-01,article,News,,"['Baseball', 'Trades (Sports)']",The New York Times,Sports,1021
"Debate Fact Check: What Were They Talking About, and What Was True?",2019-08-01,article,News,,"['Debates (Political)', 'Presidential Election of 2020']",The New York Times,Washington,2901
Biden Under Fire From All Sides as Rivals Attack His Record,2019-08-01,article,News,,"['Debates (Political)', 'Presidential Election of 2020', 'United States Politics and Government', 'Health Insurance and Managed Care']",The New York Times,Politics,1909
"Skip Cash for Equifax Breach and Get Credit Monitoring, F.T.C. Tells Victims",2019-08-01,article,News,,"['Personal Finances', 'Consumer Protection', 'Cyberattacks and Hackers']",The New York Times,Business,328
Julián Castro Says Joe Biden Hasn’t ‘Learned the Lessons of the Past’,2019-08-01,article,News,,"['Presidential Election of 2020', 'Debates (Political)']",The New York Times,Politics,576
Kelly Craft Is Confirmed as U.S. Ambassador to United Nations,2019-08-01,article,News,,"['Politics and Government', 'Diplomatic Service, Embassies and Consulates', 'United States International Relations', 'Appointments and Executive Changes']",The New York Times,Express,603
Protest Over Eric Garner’s Death Disrupts Democratic Debate,2019-08-01,article,News,,"['Demonstrations, Protests and Riots', 'Debates (Political)', 'Presidential Election of 2020']",The New York Times,Politics,409
F.B.I. Agents Raid South Bend Housing Authority Offices,2019-08-01,article,News,,"['Presidential Election of 2020', 'Affordable Housing', 'Elections, Mayors']",The New York Times,Express,527
Tulsi Gabbard Says Kamala Harris Should Apologize for Record as Prosecutor,2019-08-01,article,News,,"['Presidential Election of 2020', 'Debates (Political)']",The New York Times,Politics,865
Powerhouse in Cricket,2019-08-01,article,News,,['Crossword Puzzles'],The New York Times,Games,878
‘Jane the Virgin’ Ended Much Like It Began,2019-08-01,article,News,,['Television'],The New York Times,Culture,792
A New Raffles Singapore for a New Era,2019-08-01,multimedia,Slideshow,,['Hotels and Travel Lodgings'],The New York Times,Travel,0
The Raffles Singapore Embarks on a Modern Journey,2019-08-01,article,News,,"['Travel and Vacations', 'Hotels and Travel Lodgings', 'Restoration and Renovation']",The New York Times,Travel,1027
Gillibrand Criticized Biden Over a Child Care Vote. Here’s the Full Story.,2019-08-01,article,News,,"['Presidential Election of 2020', ""Women's Rights"", 'Child Care', 'Debates (Political)']",The New York Times,Politics,816
Cory Booker Says Joe Biden Created ‘All the Problems That He Is Talking About’,2019-08-01,article,News,,"['Presidential Election of 2020', 'Blacks', 'Black People', 'Debates (Political)', 'Criminal Justice']",The New York Times,Politics,967
The Best Movies and TV Shows New to Netflix Australia in August,2019-08-01,article,News,,"['Television', 'Movies']",The New York Times,Arts&Leisure,1848
Debate Drama: Here’s Joe,2019-08-01,article,Op-Ed,,"['Debates (Political)', 'Presidential Election of 2020', 'United States Politics and Government']",The New York Times,OpEd,916
White Supremacist Leader Captured After Escape From Arkansas Jail,2019-08-01,article,News,,"['Prison Escapes', 'Drug Abuse and Traffic', 'Whites', 'Fringe Groups and Movements', 'Gangs', 'Murders, Attempted Murders and Homicides', 'Racketeering and Racketeers']",The New York Times,Express,455
"Quotation of the Day: Israel Supports Palestinian Homes in the West Bank, and Far More Jewish Units",2019-08-01,article,Quote,,[],The New York Times,Summary,39
"Corrections: August 1, 2019",2019-08-01,article,Correction,,[],The New York Times,Corrections,265
‘Go to Joe 30330’: Biden Sends Supporters on a Digital Wild Goose Chase,2019-08-01,article,News,,"['Presidential Election of 2020', 'Debates (Political)']",The New York Times,Politics,243
"Joe Biden Did Fine, and That Might Have Been Enough",2019-08-01,article,News Analysis,,"['Debates (Political)', 'Presidential Election of 2020', 'United States Politics and Government', 'Criminal Justice', 'Patient Protection and Affordable Care Act (2010)', 'Medicare', 'Health Insurance and Managed Care']",The New York Times,Politics,1717
"At Debate, Democrats Challenge Biden Over Obama’s Deportation Record",2019-08-01,article,News,,"['Immigration and Emigration', 'Debates (Political)', 'Presidential Election of 2020', 'Illegal Immigration']",The New York Times,Politics,564
Highlights From Night 2 of the July Democratic Debates,2019-08-01,multimedia,Video,,[],The New York Times,,0
"Jeffrey Epstein, Brexit, Democratic Debates: Your Thursday Briefing",2019-08-01,article,briefing,,['Great Britain Withdrawal from EU (Brexit)'],The New York Times,NYTNow,1596
What’s on TV Thursday: ‘The Fate of the Furious’ and ‘No One Saw a Thing’,2019-08-01,article,News,,"['Television', 'Movies']",The New York Times,Culture,486
Debate Night 2: The ‘On Politics’ Breakdown,2019-08-01,article,News,,"['United States Politics and Government', 'Presidential Election of 2020', 'Debates (Political)']",The New York Times,Politics,882
"Bin Laden Family ‘Henchman’ Arrested in Philippines, a Growing Islamist Bastion",2019-08-01,article,News,,['Terrorism'],The New York Times,Express,391
Amazon Kindle Oasis Review: Now Is the Perfect Time to Buy an E-Reader,2019-08-01,article,Review,,"['E-Books and Readers', 'Handheld Computers', 'Amazon Kindle', 'Smartphones', 'Addiction (Psychology)', 'Social Media', 'Computers and the Internet']",The New York Times,Business,1010
He Left His Twins in a Hot Car and They Died. Accident or Crime?,2019-08-01,article,News,,"['Murders, Attempted Murders and Homicides', 'Child Abandonment', 'District Attorneys']",The New York Times,Metro,1389
"This Red-State Town Loves Immigrant Stories. Some of Them, Anyway.",2019-08-01,article,News,,"['Immigration and Emigration', 'Illegal Immigration', 'Citizenship and Naturalization']",The New York Times,Politics,1510
"London Stock Exchange to Buy Refinitiv, a Data Provider",2019-08-01,article,News,,"['Mergers, Acquisitions and Divestitures']",The New York Times,Business,534
Late Night Goes Live for the 2nd Night of Democratic Debates,2019-08-01,article,News,,[],The New York Times,Culture,783
"Germany Trained and Hired Asylum Seekers, Then Started Deporting Them",2019-08-01,article,News,,"['Refugees and Displaced Persons', 'Labor and Jobs', 'Deportation', 'Immigration and Emigration']",The New York Times,Foreign,1495
"At Salzburg Festival, a Thrilling Provocation and a Promise Unfulfilled",2019-08-01,article,Review,,"['Theater', 'Salzburg Festival']",The New York Times,Culture,998
"Winners and Losers of the Democratic Debate, Night 2",2019-08-01,multimedia,Interactive Feature,,"['Elections', 'Presidential Election of 2020']",The New York Times,Opinion,0
Spain’s Most Celebrated Writer Believes the Fascist Past Is Still Present,2019-08-01,article,News,,"['Writing and Writers', 'Books and Literature', 'Spanish Civil War (1936-39)', 'Translation and Interpreters']",The New York Times,Magazine,4563
How to Give Your Therapist Feedback,2019-08-01,article,News,,"['Therapy and Rehabilitation', 'Psychology and Psychologists', 'Mental Health and Disorders', 'Anxiety and Stress', 'Emotions']",The New York Times,Well,1021
Why Standing Often Feels Even Harder Than Running,2019-08-01,article,News,,"['Exercise', 'Back (Human Body Part)', 'Shoes and Boots', 'Muscles', 'Legs']",The New York Times,Well,1013
You Make the Call: East Harlem or Murray Hill?,2019-08-01,multimedia,Interactive Feature,,"['Real Estate and Housing (Residential)', 'Condominiums']",The New York Times,Real Estate,0
Schizophrenia Runs in My Family. What Does That Mean for Me and My Baby?,2019-08-01,article,News,,"['Mental Health and Disorders', 'Children and Childhood', 'Schizophrenia', 'Suicides and Suicide Attempts']",The New York Times,Styles,1399
Why Rate Cuts Don’t Help Much Anymore,2019-08-01,article,News,,"['Interest Rates', 'United States Economy', 'Recession and Depression', 'Federal Taxes (US)', 'Gross Domestic Product', 'Inflation (Economics)']",The New York Times,SundayBusiness,907
"When Gender Reveal Videos Go Spectacularly, Cathartically Wrong",2019-08-01,article,News,,"['Pregnancy and Childbirth', 'Gender', 'Video Recordings, Downloads and Streaming', 'Parties (Social)', 'Parenting', 'Social Media']",The New York Times,Magazine,1149
Poem: ‘Before this dream’,2019-08-01,article,News,,"['Poetry and Poets', 'Dreams']",The New York Times,Magazine,305
Is Impeachment Finally Happening?,2019-08-01,article,Op-Ed,,"['United States Politics and Government', 'Impeachment', 'Russian Interference in 2016 US Elections and Ties to Trump Associates', 'Global Warming', 'Colleges and Universities', 'Student Loans', 'Hurricane Maria (2017)', 'United States International Relations']",The New York Times,OpEd,880
"Who Is Pedro Pierluisi, Who Has Been Sworn In as Puerto Rico’s Next Governor?",2019-08-01,article,News,,"['Politics and Government', 'Governors (US)']",The New York Times,National,616
Debate Disappointment: I Wanted So Much More From Joe Biden,2019-08-01,article,Op-Ed,,"['Presidential Election of 2020', 'Debates (Political)']",The New York Times,OpEd,1207
