headline,date,doc_type,material_type,section,keywords,source,news_desk,word_count
"2 Dead in Random Shooting at ‘Purge’ Movie, Officials Say",2021-08-01,article,News,,"['Murders, Attempted Murders and Homicides', 'Theaters (Buildings)', 'Movies']",The New York Times,Express,425
"In swimming’s finale, the U.S. men keep their unbeaten streak alive, and Emma McKeon gets her 7th medal.",2021-08-01,article,News,,"['Olympic Games (2020)', 'Swimming', 'Records and Achievements']",The New York Times,Sports,1188
"With seven medals at one Olympics, Emma McKeon ties a record.",2021-08-01,article,News,,"['Olympic Games (2020)', 'Swimming', 'Records and Achievements']",The New York Times,Sports,296
Quotation of the Day: Who Are the Unvaccinated in America?,2021-08-01,article,Quote,,[],The New York Times,Summary,38
Gov. Greg Abbott bars mandates for vaccinations and masks in Texas.,2021-08-01,article,News,,"['Masks', 'Coronavirus (2019-nCoV)', 'Vaccination and Immunization']",The New York Times,National,468
"Corrections: Aug. 1, 2021",2021-08-01,article,News,,[],The New York Times,Corrections,195
"Bobby Finke’s Big Finish Surprises Himself, and His Rivals",2021-08-01,article,News,,"['Olympic Games (2020)', 'Swimming']",The New York Times,Sports,534
Spelling Bee Forum,2021-08-01,article,News,,[],The New York Times,Games,197
‘We Banged on the Trunk of His Cab and Reprimanded Him’,2021-08-01,article,News,,[],The New York Times,Metropolitan,789
"Wait, How Does Everyone Have Bushy Eyebrows?",2021-08-01,article,News,,"['Eyebrows', 'Cosmetics and Toiletries']",The New York Times,Styles,682
Tokyo Convenience Store Chicken Gizzards Saved My Life,2021-08-01,article,News,,"['Olympic Games (2020)', 'Convenience Stores', 'Food', 'Snack Foods', 'Quarantine (Life and Culture)', 'Coronavirus (2019-nCoV)']",The New York Times,Sports,1348
A Fire in Minnesota. An Arrest in Mexico. Cameras Everywhere.,2021-08-01,article,News,,"['Arson', 'Fugitives', 'Surveillance of Citizens by Government', 'George Floyd Protests (2020)', 'Facial Recognition Software', 'Computer Vision', 'Privacy', 'Civil Rights and Liberties']",The New York Times,SundayBusiness,3173
Even the Pope Has Prayed to Venezuela’s Beloved ‘Doctor of the Poor’,2021-08-01,article,News,,"['Hospitals', 'Medicine and Health', 'Beatifications and Canonizations', 'Coronavirus (2019-nCoV)', 'Politics and Government', 'Monuments and Memorials (Structures)']",The New York Times,Foreign,1193
Xander Schauffele wins the gold medal in golf.,2021-08-01,article,News,,"['Olympic Games (2020)', 'Golf']",The New York Times,Sports,217
"With Undersea Robots, an Air Force Navigator Lost Since 1967 Is Found",2021-08-01,article,News,,"['United States Defense and Military Forces', 'Deaths (Fatalities)', 'Missing in Action', 'Oceans and Seas']",The New York Times,Foreign,1153
Top Myanmar General Says Military Rule Will Continue Into 2023,2021-08-01,article,News,,"[""Coups D'Etat and Attempted Coups D'Etat"", 'Demonstrations, Protests and Riots']",The New York Times,Foreign,829
Alexander Zverev wins gold in the men’s singles tennis tournament.,2021-08-01,article,News,,"['Olympic Games (2020)', 'Tennis']",The New York Times,Sports,876
"China continues its diving dominance, winning gold and silver in the women’s 3-meter springboard.",2021-08-01,article,News,,"['Olympic Games (2020)', 'Diving (Sports Event)']",The New York Times,Sports,290
What We Lost That Day,2021-08-01,multimedia,Interactive Feature,,"['Beirut, Lebanon, Explosions (2020)']",The New York Times,World,0
Think Sustainability Is Simple? This Sheep Farmer Would Like a Word.,2021-08-01,article,Review,,"['Books and Literature', 'Agriculture and Farming', 'Livestock', 'Sheep', 'Sustainable Living']",The New York Times,BookReview,886
Does Back to School Mean a Jacket and Slacks?,2021-08-01,article,News,,"['Content Type: Service', 'Dress Codes', 'Fashion and Apparel', 'Uniforms']",The New York Times,Styles,502
The Olympics That Feel Like Only Competitions,2021-08-01,article,News,,"['Olympic Games (2020)', 'News and News Media']",The New York Times,Summary,789
Can Paramount+ Succeed? One Producer Hopes to Make It So.,2021-08-01,article,News,,"['Television', 'Video Recordings, Downloads and Streaming', 'Movies', 'Content Type: Personal Profile']",The New York Times,Business,1475
‘It Looked Like an Atomic Bomb’: Surveying the Bootleg Fire’s Devastation,2021-08-01,article,News,,['Wildfires'],The New York Times,National,811
Why Trust Is in Short Supply on Capitol Hill,2021-08-01,article,News,,"['United States Politics and Government', 'Law and Legislation', 'Infrastructure (Public Works)']",The New York Times,Washington,1296
