headline,date,doc_type,material_type,section,keywords,source,news_desk,word_count
"Winning South Carolina, Biden Makes Case Against Sanders: ‘Win Big or Lose’",2020-03-01,article,News,,"['Presidential Elections (US)', 'Primaries and Caucuses', 'Presidential Election of 2020', 'Voting and Voters', 'Black People', 'Blacks', 'Polls and Public Opinion']",The New York Times,Politics,1892
"At CPAC, Trump Takes Aim at Rivals",2020-03-01,article,News,,"['Presidential Election of 2020', 'Tax Cuts and Jobs Act (2017)', 'Appointments and Executive Changes', 'Coronavirus (2019-nCoV)']",The New York Times,Washington,951
The Islanders Are Saying Goodbye to Brooklyn,2020-03-01,article,News,,"['Hockey, Ice', 'Stadiums and Arenas']",The New York Times,Sports,597
Trump Moves to Calm Fears as First U.S. Death From Coronavirus Is Reported,2020-03-01,article,News,,"['Coronavirus (2019-nCoV)', 'Presidential Election of 2020']",The New York Times,Washington,1670
"Mother and Daughter Attacked for Speaking Spanish, Prosecutor Says",2020-03-01,article,News,,"['Assaults', 'Hate Crimes', 'Hispanic-Americans', 'Discrimination', 'Race and Ethnicity', 'Immigration and Emigration']",The New York Times,Express,839
Joe Biden Had a Big Night. He Needs Another in 72 Hours.,2020-03-01,article,News Analysis,,"['Primaries and Caucuses', 'Presidential Election of 2020', 'Campaign Finance', 'Voting and Voters', 'United States Politics and Government']",The New York Times,Politics,1712
"For Buttigieg, a Search for Black Support That Never Arrived",2020-03-01,article,News,,"['Primaries and Caucuses', 'Presidential Election of 2020', 'Black People', 'Blacks']",The New York Times,Politics,1326
Tom Steyer Drops Out of 2020 Presidential Race,2020-03-01,article,News,,"['Presidential Election of 2020', 'Campaign Finance', 'Primaries and Caucuses', 'United States Politics and Government']",The New York Times,Politics,1091
Joe Biden Lands First Big Primary Win,2020-03-01,multimedia,Video,,"['Presidential Election of 2020', 'Primaries and Caucuses']",The New York Times,,0
In Trump’s Words: Praise for the Taliban and Optimism About the Coronavirus,2020-03-01,article,News,,"['Politics and Government', 'United States Politics and Government', 'Coronavirus (2019-nCoV)', 'Russian Interference in 2016 US Elections and Ties to Trump Associates']",The New York Times,National,748
"Danielle Foster, Douglas Graham",2020-03-01,article,News,,['Weddings and Engagements'],The New York Times,Society,186
"Thomas Schultz, Robert Blalock",2020-03-01,article,News,,['Weddings and Engagements'],The New York Times,Society,173
"Avy Villaraza, Darnell Thompson",2020-03-01,article,News,,['Weddings and Engagements'],The New York Times,Society,174
"Lauren Hard, Ronald Hernandez",2020-03-01,article,News,,['Weddings and Engagements'],The New York Times,Society,316
"Corrections: March 1, 2020",2020-03-01,article,News,,[],The New York Times,Corrections,398
Quotation of the Day: Readiness of U.S. for an Epidemic Raises Fears About Shortages,2020-03-01,article,Quote,,[],The New York Times,Summary,50
"Amber Bloom, Dov Lebowitz-Nowak",2020-03-01,article,News,,['Weddings and Engagements'],The New York Times,Society,366
"Meredith Perry, Amit Bedi",2020-03-01,article,News,,['Weddings and Engagements'],The New York Times,Society,165
"Esther Gibofsky, Adam Rattner",2020-03-01,article,News,,['Weddings and Engagements'],The New York Times,Society,355
Second Death From Virus Is Reported in the U.S.,2020-03-01,article,News,,['Coronavirus (2019-nCoV)'],The New York Times,Foreign,3140
What’s on TV Sunday: ‘Dispatches from Elsewhere’ and ‘Doctor Who’,2020-03-01,article,News,,"['Movies', 'Television']",The New York Times,Culture,481
"On ‘S.N.L.’, John Mulaney and Jake Gyllenhaal Find Humor in the Coronavirus",2020-03-01,article,News,,['Television'],The New York Times,Culture,1504
"‘I Only Drink My Coffee Black, and I Cannot Drink It With Sugar’",2020-03-01,article,News,,[],The New York Times,Metropolitan,872
"Making a Plague Movie, With Coronavirus on the Doorstep",2020-03-01,article,News,,"['Coronavirus (2019-nCoV)', 'Epidemics', 'Movies']",The New York Times,Foreign,877
"Israel, ‘Start-up Nation,’ Groans Under Strains of Growth and Neglect",2020-03-01,article,News,,"['Politics and Government', 'Economic Conditions and Trends', 'Roads and Traffic', 'Transit Systems', 'Education (K-12)', 'Hospitals', 'Labor and Jobs', 'Productivity', 'Population']",The New York Times,Foreign,2406
Why Afghanistan Became an Invisible War,2020-03-01,multimedia,Interactive Feature,,"['Afghanistan War (2001- )', 'War and Revolution']",The New York Times,World,0
5 Takeaways From the South Carolina Primary,2020-03-01,article,News,,['Presidential Election of 2020'],The New York Times,Politics,1420
Homes That Sold for Around $1 Million,2020-03-01,article,News,,['Real Estate and Housing (Residential)'],The New York Times,RealEstate,435
"An Office With 128,000 Miles",2020-03-01,article,News,,"['News and News Media', 'Road Trips', 'Newspapers', 'Hurricanes and Tropical Storms']",The New York Times,Summary,904
Why Some Suburban Women Are Wary of Bernie Sanders,2020-03-01,article,News,,"['Presidential Election of 2020', 'Primaries and Caucuses', 'Women and Girls']",The New York Times,Politics,1490
Baristas at Starbucks Accuse Service Company of Abuse and Pay Gaps,2020-03-01,article,News,,"['Discrimination', 'Organized Labor', 'Wages and Salaries', 'Race and Ethnicity', 'Black People', 'Blacks', 'Transgender and Transsexuals', 'AIRPORTS', 'Immigration and Emigration']",The New York Times,Express,1130
"Bernie Sanders Raised $46 Million in February, a Record for 2020",2020-03-01,article,News,,"['Presidential Election of 2020', 'Campaign Finance', 'Political Advertising']",The New York Times,Politics,374
‘Slovakia Has Woken Up’: Governing Party Suffers Decisive Election Defeat,2020-03-01,article,News,,"['Politics and Government', 'Corruption (Institutional)', 'Elections', 'Neo Nazi Groups', 'Organized Crime']",The New York Times,Foreign,1112
"South Carolina, Coronavirus, Taliban: Your Weekend Briefing",2020-03-01,article,briefing,,[],The New York Times,NYTNow,1196
"What Comes Next, Joe Biden?",2020-03-01,article,Op-Ed,,"['Presidential Election of 2020', 'Primaries and Caucuses']",The New York Times,Editorial,1107
The Week in Business: It Was All About the Coronavirus,2020-03-01,article,News,,"['Stocks and Bonds', 'United States Economy', 'Coronavirus (2019-nCoV)', 'Mergers, Acquisitions and Divestitures', 'International Trade and World Market']",The New York Times,SundayBusiness,790
How the Democrats’ ‘15% Rule’ Could Reshape the Race on Super Tuesday,2020-03-01,article,News,,"['Primaries and Caucuses', 'Presidential Election of 2020', 'United States Politics and Government']",The New York Times,Express,748
Afghan Peace Plan Faces Its First Roadblock: Releasing Taliban Prisoners,2020-03-01,article,News,,"['Terrorism', 'Women and Girls', 'Afghanistan War (2001- )']",The New York Times,Washington,1185
"Velvet Ropes, Inclusion and Kanye West in Paris",2020-03-01,article,News,,"['Fashion and Apparel', 'Paris Fashion Week', 'your-feed-fashion']",The New York Times,Styles,1464
Balenciaga: Fall 2020,2020-03-01,multimedia,Slideshow,,['Paris Fashion Week'],The New York Times,Fashion & Style,0
This Was Molly Seidel’s First Marathon. Her Next Will Be at the Olympics.,2020-03-01,article,News,,"['Olympic Games (2020)', 'Marathon Running']",The New York Times,Sports,989
Alaïa and Lagerfeld: The Lives of Very Different Men,2020-03-01,article,News,,"['Fashion and Apparel', 'Books and Literature', 'Design', 'Creativity', 'your-feed-fashion']",The New York Times,Styles,723
How to Protect Yourself and Prepare for the Coronavirus,2020-03-01,article,briefing,,"['Coronavirus (2019-nCoV)', 'Travel Warnings', 'Travel and Vacations', 'Hygiene and Cleanliness', 'Masks', 'Epidemics', 'Vaccination and Immunization']",The New York Times,Express,1766
Why South Carolina Was So Personal for Joe Biden,2020-03-01,article,Op-Ed,,"['Presidential Election of 2020', 'Primaries and Caucuses']",The New York Times,OpEd,531
What to Cook This Week,2020-03-01,article,News,,['Cooking and Cookbooks'],The New York Times,Dining,557
Greece Suspends Asylum as Turkey Opens Gates for Migrants,2020-03-01,article,News,,"['Immigration and Emigration', 'Refugees and Displaced Persons', 'Defense and Military Forces']",The New York Times,Foreign,883
Thom Browne: Fall 2020,2020-03-01,multimedia,Slideshow,,['Paris Fashion Week'],The New York Times,Fashion & Style,0
Battle for Control of Senate Takes Shape as Both Parties Seek Firewall,2020-03-01,article,News,,"['Politics and Government', 'Elections, Senate', 'United States Politics and Government', 'Primaries and Caucuses', 'Elections']",The New York Times,Washington,1323
Working From Home: How Coronavirus Could Affect the Workplace,2020-03-01,article,News,,"['Paid Time Off', 'Workplace Hazards and Violations', 'Labor and Jobs', 'Coronavirus (2019-nCoV)', 'Workplace Environment', ""Workers' Compensation Insurance"", 'Wages and Salaries', 'Disability Insurance']",The New York Times,Business,1284
Avoiding Coronavirus May Be a Luxury Some Workers Can’t Afford,2020-03-01,article,News,,"['Paid Time Off', 'Coronavirus (2019-nCoV)', 'Telecommuting', 'Income Inequality', 'Health Insurance and Managed Care']",The New York Times,Upshot,1029
Extend a Nuclear Arms Treaty,2020-03-01,article,Letter,,"['Strategic Arms Reduction Treaty', 'United States International Relations', 'ARMS CONTROL AND LIMITATION AND DISARMAMENT']",The New York Times,Letters,192
Disclosure of Campaign Donors,2020-03-01,article,Letter,,"['Freedom of Speech and Expression', 'First Amendment (US Constitution)']",The New York Times,Letters,236
"In India, Modi’s Policies Have Lit a Fuse",2020-03-01,article,News,,"['Politics and Government', 'Muslims and Islam', 'Demonstrations, Protests and Riots', 'Hinduism', 'Police Brutality, Misconduct and Shootings', 'Discrimination']",The New York Times,Foreign,1566
Kobe Bryant’s Widow ‘Devastated’ by Reports That Deputies Shared Crash Photos,2020-03-01,article,News,,"['Helicopters', 'Privacy', 'Aviation Accidents, Safety and Disasters']",The New York Times,Express,549
Afghanistan War Enters New Stage as U.S. Military Prepares to Exit,2020-03-01,article,News,,"['United States Defense and Military Forces', 'Terrorism', 'Afghanistan War (2001- )']",The New York Times,Washington,1765
Israeli Slugfest:The Campaign in Pictures,2020-03-01,article,News,,"['Politics and Government', 'Elections']",The New York Times,Foreign,1451
"Months After Puerto Rico Earthquakes, Thousands Are Still Living Outside",2020-03-01,article,News,,"['Earthquakes', 'Hurricane Maria (2017)', 'Disasters and Emergencies', 'Federal Aid (US)']",The New York Times,National,1590
"After Factory Disaster, Bangladesh Made Big Safety Strides. Are the Bad Days Coming Back?",2020-03-01,article,News,,"['Rana Plaza Building Collapse, Bangladesh (2013)', 'Workplace Hazards and Violations', 'Accidents and Safety', 'Politics and Government', 'Factories and Manufacturing', 'Fashion and Apparel', 'Wages and Salaries', 'your-feed-selfcare', 'your-feed-fashion']",The New York Times,Foreign,1894
"Coronavirus May Have Spread in U.S. for Weeks, Gene Sequencing Suggests",2020-03-01,article,News,,"['Coronavirus (2019-nCoV)', 'Genetics and Heredity', 'Influenza', 'Epidemics']",The New York Times,National,1383
"‘Invisible Man’ Tops Box Office, Giving New Life to Old Monsters",2020-03-01,article,News,,"['Movies', 'Box Office Sales']",The New York Times,Business,441
"At Olympic Marathon Trials, the Agony of Fourth Place",2020-03-01,article,News,,"['Boston Marathon', 'Marathon Running', 'Olympic Games (2020)']",The New York Times,Sports,991
Valentino: Fall 2020,2020-03-01,multimedia,Slideshow,,['Paris Fashion Week'],The New York Times,Fashion & Style,0
Texas’s Lone G.O.P. Woman in Congress Faces a Stiff Challenge From the Right,2020-03-01,article,News,,"['Elections, House of Representatives', 'Conservatism (US Politics)', 'Women and Girls', 'Endorsements', 'Federal Aid (US)']",The New York Times,Washington,1531
"Defiant Iranian Directors Speak Out About Censorship, Onscreen and Off",2020-03-01,article,News,,"['Movies', 'Berlin International Film Festival', 'Politics and Government', 'Censorship', 'Awards, Decorations and Honors']",The New York Times,Culture,1154
What the Plague Can Teach Us About the Coronavirus,2020-03-01,article,Op-Ed,,"['Quarantines', 'Coronavirus (2019-nCoV)', 'Epidemics', 'Discrimination']",The New York Times,OpEd,847
"Michael Bloomberg, a Billionaire Learning on the Job",2020-03-01,article,News,,"['Presidential Election of 2020', 'Polls and Public Opinion']",The New York Times,Politics,1368
Turkey Declares Major Offensive Against Syrian Government,2020-03-01,article,News,,['Defense and Military Forces'],The New York Times,Foreign,1152
The Met Opera’s ‘Dutchman’ Sails Into Port With a New Star,2020-03-01,article,News,,['Opera'],The New York Times,Culture,1083
"Coronavirus, India Violence, South Carolina Primary: Your Monday Briefing",2020-03-01,article,briefing,,[],The New York Times,NYTNow,1452
Milken Had Key Allies in Pardon Bid: Trump’s Inner Circle,2020-03-01,article,News,,"['Amnesties, Commutations and Pardons', 'Securities and Commodities Violations', 'United States Politics and Government']",The New York Times,Business,1332
Wall Street Has Lost Its Nerve. What Will It Take to Get It Back?,2020-03-01,article,News,,"['Stocks and Bonds', ""Standard & Poor's 500-Stock Index"", 'Coronavirus (2019-nCoV)', 'Economic Conditions and Trends', 'United States Economy']",The New York Times,Business,1067
