headline,date,doc_type,material_type,section,keywords,source,news_desk,word_count
Russia Is a Potemkin Superpower,2022-03-01,article,Op-Ed,,"['Russian Invasion of Ukraine (2022)', 'Ruble (Currency)', 'Embargoes and Sanctions']",The New York Times,OpEd,882
What We’re Watching in Tuesday’s Texas Primary Election,2022-03-01,article,News,,"['United States Politics and Government', 'internal-sub-only-nl', 'Elections, Governors', 'Primaries and Caucuses', 'Midterm Elections (2022)']",The New York Times,Politics,1411
"In State of the Union, Biden Will Focus on Economy and Global Response to Russia",2022-03-01,article,News,,"['United States Economy', 'United States International Relations', 'United States Politics and Government', 'Coronavirus (2019-nCoV)', 'State of the Union Message (US)', 'Russian Invasion of Ukraine (2022)']",The New York Times,Washington,1079
G.O.P. Leaders Condemn Lawmakers’ Appearance at White Nationalist Conference,2022-03-01,article,News,,"['United States Politics and Government', 'Anti-Semitism', 'Right-Wing Extremism and Alt-Right']",The New York Times,Washington,1344
"Richard Blum, Political Donor and Husband of Senator Feinstein, Dies at 86",2022-03-01,article,Obituary (Obit),,"['United States Politics and Government', 'Deaths (Obituaries)', 'Philanthropy', 'Campaign Finance']",The New York Times,Obits,676
A few members of the Russian Parliament speak out against the war.,2022-03-01,article,News,,['Russian Invasion of Ukraine (2022)'],The New York Times,Foreign,443
Republicans Block Abortion Rights Measure in Senate,2022-03-01,article,News,,"['Law and Legislation', 'United States Politics and Government', 'Abortion', 'Roe v Wade (Supreme Court Decision)']",The New York Times,Washington,777
"Bracing for Biden and Protests, Officials Fortify the Capitol",2022-03-01,article,News,,"['Storming of the US Capitol (Jan, 2021)', 'Security and Warning Systems', 'United States Politics and Government', 'Capitol Building (Washington, DC)', 'State of the Union Message (US)', 'Demonstrations, Protests and Riots']",The New York Times,Washington,780
The U.S. expels 12 Russian diplomats for spying as Ukraine dominates action at the U.N.,2022-03-01,article,News,,['Russian Invasion of Ukraine (2022)'],The New York Times,Foreign,535
Ukraine Gets $22 Million in Crypto Donations to Fight Invasion,2022-03-01,article,News,,"['Russian Invasion of Ukraine (2022)', 'Virtual Currency', 'War and Armed Conflicts', 'Defense and Military Forces', 'Politics and Government', 'Crowdfunding (Internet)', 'Computers and the Internet']",The New York Times,Business,377
Why Ukrainians Believe They Can Win,2022-03-01,article,Op-Ed,,"['Russian Invasion of Ukraine (2022)', 'Politics and Government', 'Democracy (Theory and Philosophy)', 'Defense and Military Forces']",The New York Times,OpEd,880
Chinese Company Removed as Operator of Cobalt Mine in Congo,2022-03-01,article,News,,"['Mines and Mining', 'Cobalt', 'Alternative and Renewable Energy', 'Appointments and Executive Changes', 'Politics and Government', 'International Trade and World Market']",The New York Times,Investigative,916
