headline,date,doc_type,material_type,section,keywords,source,news_desk,word_count
A Leak-Prone White House Finally Manages to Keep a Secret,2019-12-01,article,News,,['Afghanistan War (2001- )'],The New York Times,Washington,1341
Justin Fields Has ‘Heisman Moment’ in Ohio State’s Win Over Michigan,2019-12-01,article,News,,['Football (College)'],The New York Times,Sports,727
Mikaela Shiffrin Learns a New Way to Win: Without Her Mother as Coach,2019-12-01,article,News,,['World Cup (Skiing)'],The New York Times,Sports,762
Leonardo DiCaprio Responds to Brazil’s President About Amazon Fires,2019-12-01,article,News,,"['Social Media', 'Environment', 'Fires and Firefighters', 'Global Warming', 'Computers and the Internet']",The New York Times,Express,540
Cooking Grease Down a Drain Eyed in Sewage Flood of at Least 80 Homes,2019-12-01,article,News,,"['Sewers and Sewage', 'Waste Materials and Disposal', 'Water Pollution', 'Basements and Cellars']",The New York Times,Express,781
Trump’s Intervention in SEALs Case Tests Pentagon’s Tolerance,2019-12-01,article,News,,"['Iraq War (2003-11)', 'War Crimes, Genocide and Crimes Against Humanity', 'Civilian Casualties', 'United States Defense and Military Forces', 'United States Politics and Government', 'internal-national collaboration']",The New York Times,Washington,2823
"9 Family Members Die in Plane Crash During Storm in South Dakota, Officials Say",2019-12-01,article,News,,"['Aviation Accidents, Safety and Disasters', 'Snow and Snowstorms', 'Deaths (Fatalities)', 'AIRLINES AND AIRPLANES']",The New York Times,Express,506
"Daniella Berman, Anthony Cak",2019-12-01,article,News,,['Weddings and Engagements'],The New York Times,Society,303
"Quotation of the Day: Amazon’s Expansive, Creeping Influence in an American City",2019-12-01,article,Quote,,[],The New York Times,Summary,50
"Corrections: Dec. 1, 2019",2019-12-01,article,News,,[],The New York Times,Corrections,323
"Ellie Krupnick, Daniel Aronhime",2019-12-01,article,News,,['Weddings and Engagements'],The New York Times,Society,218
"Helen Yang, Maxwell Meyer",2019-12-01,article,News,,['Weddings and Engagements'],The New York Times,Society,311
"Courtney Bass, Daniel Sherizen",2019-12-01,article,News,,['Weddings and Engagements'],The New York Times,Society,290
"Lindsey Puliti, Gregory Kay",2019-12-01,article,News,,['Weddings and Engagements'],The New York Times,Society,257
What’s on TV Sunday: Kacey Musgraves’s Christmas Show and ‘Apollo 11’,2019-12-01,article,News,,"['Television', 'Movies']",The New York Times,Culture,466
China Cracks Down on Fentanyl. But Is It Enough to End the U.S. Epidemic?,2019-12-01,article,News,,"['Fentanyl', 'Drug Abuse and Traffic', 'Opioids and Opiates', 'Regulation and Deregulation of Industry', 'United States International Relations']",The New York Times,Foreign,1765
‘My Children Often Call Me Old-Fashioned. I Prefer Traditional.’,2019-12-01,article,News,,[],The New York Times,Metropolitan,825
Plunge in 3 Hong Kong Stocks Offers a Cautionary Tale,2019-12-01,article,News,,"['Stocks and Bonds', 'Securities and Commodities Violations', 'Politics and Government', 'Short Selling', 'Regulation and Deregulation of Industry']",The New York Times,Business,1035
Hong Kong Police Fire Tear Gas as Protesters Return in Force,2019-12-01,article,News,,"['Demonstrations, Protests and Riots', 'Hong Kong Protests (2019)', 'Politics and Government', 'Elections']",The New York Times,Foreign,652
‘Sent Candy’: Cockpit Tapes Show Russian Pilots Bombing Syrian Civilians,2019-12-01,multimedia,Video,,"['Civilian Casualties', 'your-feed-visual-investigations', 'War Crimes, Genocide and Crimes Against Humanity']",The New York Times,,0
A Civilian Camp in Syria Was Bombed. Here’s How We Traced the Culprit.,2019-12-01,article,News,,"['your-feed-visual-investigations', 'War Crimes, Genocide and Crimes Against Humanity']",The New York Times,Summary,756
Called to Serve Children and Looking for Her Opportunity,2019-12-01,article,News,,[],The New York Times,Metro,783
How a Curious Mammal Evolved Its Venom,2019-12-01,article,News,,"['Solenodons (Animals)', 'Poisoning and Poisons', 'Mammals', 'Genetics and Heredity', 'Evolution (Biology)', 'Endangered and Extinct Species', 'Research', 'your-feed-science']",The New York Times,Science,555
"Homes That Sold for Around $600,000",2019-12-01,article,News,,['Real Estate and Housing (Residential)'],The New York Times,RealEstate,437
How a Divided Left Is Losing the Battle on Abortion,2019-12-01,article,News,,"['ABORTION', 'Birth Control and Family Planning', 'Presidential Election of 2020', ""Women's Rights"", 'United States Politics and Government', 'Women and Girls', 'Law and Legislation', 'States (US)']",The New York Times,Politics,3097
‘I Wanted to Die:’ Northern Ireland Confronts a Suicide Crisis,2019-12-01,article,News,,"['Depression (Mental)', 'Mental Health and Disorders', 'Anxiety and Stress', 'Post-Traumatic Stress Disorder', 'Terrorism', 'Suicides and Suicide Attempts']",The New York Times,Foreign,1546
Assange to Testify on Being Recorded in Embassy in London,2019-12-01,article,News,,"['Classified Information and State Secrets', 'Diplomatic Service, Embassies and Consulates', 'Espionage and Intelligence Services']",The New York Times,Foreign,1291
"Holiday Travel, AIDS, Sea Snakes: Your Weekend Briefing",2019-12-01,article,briefing,,[],The New York Times,NYTNow,1121
"U.S. Drone Killed Afghan Civilians, Officials Say",2019-12-01,article,News,,"['Drones (Pilotless Planes)', 'Civilian Casualties', 'Afghanistan War (2001- )']",The New York Times,Foreign,710
"In Prince Andrew Scandal, Prince Charles Emerges as Monarch-in-Waiting",2019-12-01,article,News,,"['Royal Families', 'Politics and Government']",The New York Times,Foreign,1371
The Week in Business: The King of Luxury Just Got Even Richer,2019-12-01,article,News,,"['Mergers, Acquisitions and Divestitures', 'High Net Worth Individuals']",The New York Times,SundayBusiness,843
"China Is Aiming to ‘Break’ Detained Australian Writer, Lawyers Say",2019-12-01,article,News,,"['Politics and Government', 'Political Prisoners', 'Espionage and Intelligence Services']",The New York Times,Foreign,647
"10 People Wounded in New Orleans Shooting, Police Say",2019-12-01,article,News,,"['Murders, Attempted Murders and Homicides']",The New York Times,Express,343
How I Found Myself in Mrs. Maisel’s Shoes,2019-12-01,article,News,,"['Comedy and Humor', 'Bars and Nightclubs']",The New York Times,Culture,1199
"The Best Movies and TV Shows Coming to Netflix, Apple TV Plus and More in December",2019-12-01,article,News,,['Television'],The New York Times,Culture,1540
What to Cook This Week,2019-12-01,article,News,,[],The New York Times,Dining,630
Snow and Sleet Cause Havoc for Travelers,2019-12-01,article,News,,"['Weather', 'Snow and Snowstorms']",The New York Times,Metro,653
Jack Merritt Died in the London Bridge Attack. Don’t Forget What He Stood For.,2019-12-01,article,Op-Ed,,"['Prisons and Prisoners', 'Criminal Justice', 'Terrorism']",The New York Times,Editorial,793
"Irving Burgie, Who Wrote Calypso Hits for Harry Belafonte, Dies at 95",2019-12-01,article,Obituary (Obit),,"['Music', 'Deaths (Obituaries)']",The New York Times,Obits,1287
Don’t Give Up on Criminal Justice Reform,2019-12-01,article,Letter,,"['Criminal Justice', 'Bail']",The New York Times,Letters,373
The ‘Unhappy Truth’ About Montreal Bagels,2019-12-01,article,Letter,,"['Ovens and Stoves', 'Bagels', 'Term Limits (Political Office)', 'Citizens United v Federal Election Commission (Supreme Court Decision)', 'Colleges and Universities', 'Homosexuality and Bisexuality', 'Foster Care']",The New York Times,Letters,827
Jay Sekulow: President Trump’s Media-Friendly Lawyer With Televangelist Ties,2019-12-01,multimedia,Video,,"['Impeachment', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Evangelical Movement', 'Religion-State Relations', 'Legal Profession']",The New York Times,,0
"Trump’s Other Personal Lawyer: Close to the Right, but Far From Giuliani",2019-12-01,article,News,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States Politics and Government', 'Trump Tax Returns', 'Christians and Christianity', 'Evangelical Movement', 'Legal Profession', 'Religion-State Relations']",The New York Times,Washington,1687
"Marilyn Saviola, Disability Rights Advocate, Is Dead at 74",2019-12-01,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Disabilities']",The New York Times,Obits,1132
"Sidelined for Months, Judiciary Panel Will Reclaim Impeachment Drive It Once Led",2019-12-01,article,News,,"['United States Politics and Government', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Russian Interference in 2016 US Elections and Ties to Trump Associates', 'Presidential Election of 2020']",The New York Times,Washington,1765
Review: A Young Soprano Meets the Hype at the Met Opera,2019-12-01,article,Review,,['Opera'],The New York Times,Culture,761
Winter Storm Brings Sloppy and Slippery Conditions to New England,2019-12-01,article,News,,"['Weather', 'Snow and Snowstorms', 'Rain', 'AIRLINES AND AIRPLANES', 'AIRPORTS']",The New York Times,Express,593
Artemi Panarin Has Been the Player the Rangers Wanted and Needed,2019-12-01,article,News,,"['Hockey, Ice']",The New York Times,Sports,947
"Man in Maine Is Fatally Shot by His Own Booby Trap, Police Say",2019-12-01,article,News,,"['Security and Warning Systems', 'Accidents and Safety']",The New York Times,Express,234
Irish Ex-Soldier Who Married ISIS Fighter Is Arrested,2019-12-01,article,News,,"['Terrorism', 'Politics and Government', 'Children and Childhood']",The New York Times,Foreign,835
Trump’s Trade Deal Steals a Page From Democrats’ Playbook,2019-12-01,article,News,,"['North American Free Trade Agreement', 'International Trade and World Market', 'United States Politics and Government', 'Labor and Jobs', 'Organized Labor', 'Wages and Salaries', 'Automobiles']",The New York Times,Washington,1638
"With Brutal Crackdown, Iran Is Convulsed by Worst Unrest in 40 Years",2019-12-01,article,News,,"['Demonstrations, Protests and Riots', 'Embargoes and Sanctions', 'Deaths (Fatalities)', 'Human Rights and Human Rights Violations']",The New York Times,Foreign,1689
Did ‘The Irishman’ Take a Bite Out of the Thanksgiving Box Office?,2019-12-01,article,News,,"['Movies', 'Thanksgiving Day']",The New York Times,Business,509
The Unending Indignities of Alzheimer’s,2019-12-01,article,Op-Ed,,"['Health Insurance and Managed Care', 'Families and Family Life', 'Nursing Homes', 'Elderly', ""Alzheimer's Disease"", 'Medicaid']",The New York Times,Editorial,1333
"The Overlooked Undocumented Immigrants: From India, China, Brazil",2019-12-01,article,News,,"['Illegal Immigration', 'Visas', 'Indian-Americans', 'Asian-Americans', 'Immigration and Emigration']",The New York Times,National,1737
"Hong Kong, Fentanyl in China, Julian Assange: Your Monday Briefing",2019-12-01,article,briefing,,[],The New York Times,NYTNow,1256
"Michael Howard, Eminent British Military Historian, Dies at 97",2019-12-01,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Defense and Military Forces']",The New York Times,Obits,1482
"These Reporters Rely on Public Data, Rather Than Secret Sources",2019-12-01,article,News,,"['News and News Media', 'News Sources, Confidential Status of', 'Social Media', 'Video Recordings, Downloads and Streaming', 'Documentary Films and Programs', 'Malaysia Airlines Flight 17']",The New York Times,Business,1364
Thinking About a Job or Career Change? Read This,2019-12-01,article,News,,[],The New York Times,Smarter Living,1548
What Rappers Wore to the Genius Barbecue Concert in Brooklyn,2019-12-01,article,News,,"['Fashion and Apparel', 'Rap and Hip-Hop']",The New York Times,Styles,1080
"As Troubles Grow, Mexicans Keep the Faith With Their President",2019-12-01,article,News,,"['Politics and Government', 'Economic Conditions and Trends', 'Labor and Jobs', 'Unemployment']",The New York Times,Foreign,1375
Suspects in Mormon Family’s Killing Are Arrested in Mexico,2019-12-01,article,News,,"['Mormon Family Massacre (Mexico, 2019)', 'Drug Cartels', 'Murders, Attempted Murders and Homicides']",The New York Times,Foreign,613
Reduce One’s Standards,2019-12-01,article,News,,['Crossword Puzzles'],The New York Times,Games,319
"Steelers Cling to Playoff Hopes, the Browns to the Idea of a Rivalry",2019-12-01,article,News,,['Football'],The New York Times,Sports,799
Joe Sestak Ends Presidential Campaign,2019-12-01,article,News,,['Presidential Election of 2020'],The New York Times,Politics,395
‘Turn Off the Sunshine’: Why Shade Is a Mark of Privilege in Los Angeles,2019-12-01,article,News,,"['Trees and Shrubs', 'Sunlight', 'Global Warming', 'Income Inequality', 'Transit Systems']",The New York Times,National,1411
