headline,date,doc_type,material_type,section,keywords,source,news_desk,word_count
"From Google, on Its Advertising Tech Business",2021-07-01,article,Letter,,"['Online Advertising', 'Advertising and Marketing']",The New York Times,Letters,276
The N.B.A. Champion May Be the Last Team Standing,2021-07-01,article,News,,"['Sports Injuries', 'Basketball', 'Playoff Games', 'NBA Championship']",The New York Times,Sports,1508
"A poll reveals another U.S. vaccine divide, this one by household.",2021-07-01,article,News,,"['Vaccination and Immunization', 'Paid Time Off', 'Polls and Public Opinion']",The New York Times,Foreign,420
Judge Blocks Florida Law Regulating Social Media Companies,2021-07-01,article,News,,"['Social Media', 'Censorship', 'Computers and the Internet', 'Decisions and Verdicts', 'Law and Legislation']",The New York Times,Business,262
James Franco Agrees to Pay $2.2 Million to Settle Sexual Misconduct and Fraud Lawsuits,2021-07-01,article,News,,"['Suits and Litigation (Civil)', 'Compensation for Damages (Law)', 'Women and Girls', 'Sex Crimes', 'Frauds and Swindling', 'Actors and Actresses']",The New York Times,Express,680
Curling Locales,2021-07-01,article,News,,['Crossword Puzzles'],The New York Times,Games,1499
"Greg Noll, Surfing Superstar Who Tackled the Big Waves, Dies at 84",2021-07-01,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Surfing']",The New York Times,Obits,1098
Pictures From a Revolution: China’s Communists Mark a Centennial,2021-07-01,article,News,,"['Politics and Government', 'Hong Kong Protests (2019)']",The New York Times,Foreign,1256
"Corrections: July 1, 2021",2021-07-01,article,Correction,,[],The New York Times,Corrections,268
Your Thursday Briefing,2021-07-01,article,briefing,,[],The New York Times,NYTNow,1311
Phoenix Suns Headed to First N.B.A. Finals in Almost 30 Years,2021-07-01,article,News,,"['Sports Injuries', 'Playoff Games', 'NBA Championship']",The New York Times,Sports,860
"Every Shot, and Second, Counts for Tampa Bay",2021-07-01,article,News,,"['Stanley Cup', 'Hockey, Ice']",The New York Times,Sports,947
College Athletes Cash In as Generations of Rules Fade Under Pressure,2021-07-01,article,News,,"['Student Athlete Compensation', 'College Athletics', 'Colleges and Universities']",The New York Times,Sports,1895
Infighting and Poor Planning Leave Condo Sites in Disrepair,2021-07-01,article,News,,"['Surfside, Fla, Building Collapse (2021)', 'Condominiums', 'Home Repairs and Improvements']",The New York Times,National,1745
The Imperial Editor Goes the Way of the Dodo,2021-07-01,article,News,,"['Fashion and Apparel', 'Magazines', 'Appointments and Executive Changes', 'your-feed-fashion']",The New York Times,Styles,2736
Who Is rg_bunny1: An Instagram Whodunit,2021-07-01,article,News,,"['Art', 'Photography', 'Social Media']",The New York Times,Styles,2108
"Quotation of the Day: As Condo Boards Squabble, Disaster May Loom",2021-07-01,article,Quote,,[],The New York Times,Summary,47
"Israel’s New Leaders Tilt Right With Settler Deal, Hinting at Approach",2021-07-01,article,News Analysis,,"['Israeli Settlements', 'Palestinians', 'Politics and Government']",The New York Times,Foreign,1286
Generational Divides Emerge Onstage in Germany,2021-07-01,article,News,,"['Theater', 'Actors and Actresses']",The New York Times,Culture,1186
