headline,date,doc_type,material_type,section,keywords,source,news_desk,word_count
"Guns, Germs, Bitcoin and the Antisocial Right",2022-02-01,article,Op-Ed,,"['United States Politics and Government', 'Bitcoin (Currency)', 'Electric Light and Power', 'Gun Control', 'Coronavirus (2019-nCoV)']",The New York Times,OpEd,839
DeSantis and the Media: (Not) a Love Story,2022-02-01,article,News,,"['United States Politics and Government', 'Presidential Election of 2024', 'News and News Media']",The New York Times,Politics,1612
Angry U.S.-Russia Exchange at U.N. Punctuates Deepening Ukraine Rift,2022-02-01,article,News,,"['United States International Relations', 'International Relations', 'Politics and Government', 'Embargoes and Sanctions', 'Defense and Military Forces']",The New York Times,Foreign,1512
"U.S. and Allies Close to Reviving Nuclear Deal With Iran, Officials Say",2022-02-01,article,News,,"['Nuclear Weapons', 'Embargoes and Sanctions', 'United States International Relations', 'Politics and Government', 'Arms Control and Limitation and Disarmament']",The New York Times,Washington,1317
How N.Y. Democrats Came Up With Gerrymandered Districts on Their New Map,2022-02-01,article,News,,"['Redistricting and Reapportionment', 'United States Politics and Government', 'Politics and Government', 'State Legislatures', 'Geography']",The New York Times,Metro,1276
Trump Entered 2022 With $122 Million in the Bank,2022-02-01,article,News,,"['Campaign Finance', 'Midterm Elections (2022)']",The New York Times,Politics,643
Former Pence Chief of Staff Has Testified to the Jan. 6 Committee,2022-02-01,article,News,,"['United States Politics and Government', 'Storming of the US Capitol (Jan, 2021)', 'Presidential Election of 2020']",The New York Times,Washington,684
Georgetown Suspends Lecturer Who Criticized Vow to Put Black Woman on Court,2022-02-01,article,News,,"['Colleges and Universities', 'Law Schools', 'Race and Ethnicity', 'Discrimination', 'Black People', 'Blacks', 'ACADEMIC FREEDOM', 'Freedom of Speech and Expression', 'Appointments and Executive Changes', 'Politics and Government']",The New York Times,Express,801
Tom Brady Says He Hasn’t Reached Retirement Decision,2022-02-01,article,News,,['Football'],The New York Times,Sports,592
Pfizer is expected to ask the F.D.A. to authorize its Covid vaccine for children under 5.,2022-02-01,article,News,,[],The New York Times,Washington,291
Fatal Gang Fight Spurs Nationwide Lockdown of Federal Prison System,2022-02-01,article,News,,"['Prisons and Prisoners', 'Deaths (Fatalities)', 'Gangs']",The New York Times,Washington,448
Pfizer is expected to ask the F.D.A. to authorize its Covid vaccine for children under 5.,2022-02-01,article,News,,"['Children and Childhood', 'Vaccination and Immunization', 'Coronavirus (2019-nCoV)']",The New York Times,Washington,868
Squared Up,2022-02-01,article,News,,['Crossword Puzzles'],The New York Times,Games,872
"Review: In Clare Barron’s ‘Shhhh,’ Staging a Memoir of the Body",2022-02-01,article,Review,,"['Theater', 'Actors and Actresses', 'Dating and Relationships']",The New York Times,Culture,1079
"Review: In ‘Intimate Apparel,’ Letting the Seamstress Sing",2022-02-01,article,Review,,"['Theater', 'Opera', 'Black People', 'Blacks', 'Women and Girls']",The New York Times,Culture,1226
Trump Had Role in Weighing Proposals to Seize Voting Machines,2022-02-01,article,News,,"['Presidential Election of 2020', 'Voting Machines', 'Voter Fraud (Election Fraud)', 'United States Politics and Government']",The New York Times,Washington,1448
Your Tuesday Briefing,2022-02-01,article,briefing,,[],The New York Times,NYTNow,1266
"A Year After Coup, Myanmar Is Mired in Conflict and Chaos",2022-02-01,article,News,,"[""Coups D'Etat and Attempted Coups D'Etat"", 'Defense and Military Forces', 'Politics and Government', 'Political Prisoners', 'Demonstrations, Protests and Riots', 'Civilian Casualties', 'Human Rights and Human Rights Violations', 'Embargoes and Sanctions', 'Humanitarian Aid']",The New York Times,Foreign,1135
"Corrections: Feb. 1, 2022",2022-02-01,article,Correction,,[],The New York Times,Corrections,462
An ‘Eerily Similar’ Murder-for-Hire,2022-02-01,article,briefing,,"['Murders, Attempted Murders and Homicides', 'Airports']",The New York Times,Metro,1540
Trevor Noah: Trump Is America’s Relentless Ex,2022-02-01,article,News,,['Television'],The New York Times,Culture,606
Word of the Day: luminous,2022-02-01,article,News,,[],The New York Times,Learning,368
Spelling Bee Forum,2022-02-01,article,News,,[],The New York Times,Games,213
Smart Watch,2022-02-01,article,News,,[],The New York Times,Learning,129
The Loneliest Mountaineer on Everest,2022-02-01,article,News,,"['Ice Climbing', 'Rock Climbing', 'Mountaineering', 'Mountains', 'audio-neutral-informative', 'audio-neutral-immersive', 'audio-neutral-suspenseful', 'Content Type: Personal Profile']",The New York Times,Sports,1475
Groundhogs Emerge From the Scientific Shadows,2022-02-01,article,News,,"['Groundhogs', 'Animal Behavior', 'Research', 'Gardens and Gardening', 'your-feed-animals', 'your-feed-science']",The New York Times,Science,1503
The U.S. orders families of its embassy staff in Belarus to leave the country.,2022-02-01,article,News,,"['Politics and Government', 'United States International Relations']",The New York Times,Foreign,370
Meet the People Getting Paid to Kill Our Planet,2022-02-01,multimedia,Video,,"['Agriculture and Farming', 'Greenhouse Gas Emissions', 'Factory Farming', 'Global Warming', 'Water Pollution', 'Regulation and Deregulation of Industry', 'Environment', 'your-feed-opinionvideo']",The New York Times,,0
4 Climate Issues N.Y.C. Will Face This Year,2022-02-01,multimedia,Interactive Feature,,"['Greenhouse Gas Emissions', 'Appointments and Executive Changes', 'Alternative and Renewable Energy', 'Solar Energy']",The New York Times,New York,0
How Do You Celebrate Your Culture Through Food?,2022-02-01,article,News,,[],The New York Times,Learning,918
These Characters Study Abroad in Berlin. It Doesn’t Go Well.,2022-02-01,article,Review,,['Books and Literature'],The New York Times,BookReview,901
"A Celebration of Rap, and a Shrewd Study of Its Lyricism",2022-02-01,article,Review,,"['Books and Literature', 'Rap and Hip-Hop']",The New York Times,BookReview,760
A Mother and Daughter Go Sightseeing. They See Each Other.,2022-02-01,article,Review,,['Books and Literature'],The New York Times,BookReview,603
How to Ski Blind,2022-02-01,article,News,,"['Skiing', 'Content Type: Service', 'Blindness', 'Disabilities']",The New York Times,Magazine,391
Chuck Klosterman Rewinds to ‘The Nineties’,2022-02-01,article,Review,,"['Books and Literature', 'Nineteen Hundred Nineties']",The New York Times,Culture,969
I’m Lactose Intolerant. What’s the Best Nondairy Milk Alternative?,2022-02-01,article,News,,"['Dairy Products', 'Milk', 'Diet and Nutrition', 'Content Type: Service']",The New York Times,Well,705
"A Novel About Abortion, Told From Inside and Outside a Clinic",2022-02-01,article,Review,,['Books and Literature'],The New York Times,BookReview,1634
‘The Violin Conspiracy’ Is a Musical Thriller With Some Unexpected Notes,2022-02-01,article,Review,,"['Books and Literature', 'genre-books-thriller']",The New York Times,BookReview,752
Hollywood Came to China; It Was Epic.,2022-02-01,article,Review,,"['Books and Literature', 'Movies', 'Propaganda', 'Censorship']",The New York Times,BookReview,1173
I’m Thankful Every Day for the Decision I Made After My Prenatal Tests,2022-02-01,article,Op-Ed,,"['Prenatal Testing', 'Pregnancy and Childbirth', 'Tests (Medical)', 'Amniocentesis', 'Abortion', 'Down Syndrome', 'Children and Childhood', 'Parenting']",The New York Times,OpEd,1326
Write It in Garamond,2022-02-01,article,News,,"['Typography', 'Design', 'Writing and Writers']",The New York Times,Magazine,915
