headline,date,doc_type,material_type,section,keywords,source,news_desk,word_count
New Threats Put Wildfire Fighters’ Health on the Line,2019-11-01,article,News,,"['Wildfires', 'Fires and Firefighters', 'Hazardous and Toxic Substances', 'Chemicals', 'Workplace Hazards and Violations', 'Urban Areas', 'Suburbs']",The New York Times,National,1101
Toronto’s City of Tomorrow Is Scaled Back Amid Privacy Concerns,2019-11-01,article,News,,"['Privacy', 'Industrial Espionage', 'Surveillance of Citizens by Government']",The New York Times,Foreign,499
Memphis Clerk Sentenced to 22 Years for Killing Teenager Who Stole Beer,2019-11-01,article,News,,"['Murders, Attempted Murders and Homicides', 'Robberies and Thefts']",The New York Times,Express,419
Quotation of the Day: What Recovery? Life on the Edge,2019-11-01,article,Quote,,[],The New York Times,Summary,56
"Corrections: November 1, 2019",2019-11-01,article,Correction,,[],The New York Times,Corrections,142
Beer With Bella: Benjamin Law,2019-11-01,article,News,,"['Writing and Writers', 'Books and Literature', 'Families and Family Life']",The New York Times,Foreign,1182
The Value of Working Expeditiously,2019-11-01,article,News,,['Crossword Puzzles'],The New York Times,Games,1009
Arrest Made in Halloween Shooting in Chicago That Injured a Trick-or-Treater,2019-11-01,article,News,,"['Crime and Criminals', 'Halloween']",The New York Times,Express,540
Connecticut Home Invasion Convict Is Undergoing Gender Transition in Prison,2019-11-01,article,News,,"['Transgender and Transsexuals', 'Capital Punishment', 'Murders, Attempted Murders and Homicides']",The New York Times,Express,574
"Your Friday Briefing: ISIS, Brexit, Greta Gerwig",2019-11-01,article,briefing,,[],The New York Times,NYTNow,1549
What’s on TV Friday: ‘Dickinson’ and ‘American Son’,2019-11-01,article,News,,"['Television', 'Movies']",The New York Times,Weekend,490
Word + Quiz: unhinged,2019-11-01,article,News,,[],The New York Times,Learning,216
Late Night Prepares for a Very Long Impeachment,2019-11-01,article,News,,[],The New York Times,Culture,767
Radical French Novels Welcomed to German Stages,2019-11-01,article,Review,,['Theater'],The New York Times,Culture,1123
World Series Champions,2019-11-01,article,News,,[],The New York Times,Learning,135
"Professors, Beware. In China, Student Spies Might Be Watching.",2019-11-01,article,News,,"['Colleges and Universities', 'Propaganda', 'Teachers and School Employees', 'Censorship']",The New York Times,Foreign,1405
Diaz a Reminder of U.F.C.’s Star Challenge,2019-11-01,article,News,,"['Mixed Martial Arts', 'Doping (Sports)', 'Television']",The New York Times,Sports,914
"‘Mistreated, Intimidated and Underpaid’: City Council Workers Rebel",2019-11-01,article,News,,"['Sexual Harassment', 'Ethics and Official Misconduct', 'Politics and Government', 'City Councils']",The New York Times,Metro,1085
Eddie Jones Has England Rugby Right Where He Wants It,2019-11-01,article,News,,"['World Cup 2019 (Rugby)', 'Rugby']",The New York Times,Sports,930
"First, the Tuna Fish ‘Badge of Shame.’ Next, Banned From the Prom?",2019-11-01,article,News,,"['Education (K-12)', 'Children and Childhood', 'Lunch and Breakfast Programs', 'Food', 'Social Media', 'Parenting']",The New York Times,Metro,1471
