headline,date,doc_type,material_type,section,keywords,source,news_desk,word_count
It’s Infrastructure Week!,2019-05-01,article,Editorial,,"['Infrastructure (Public Works)', 'United States Politics and Government']",The New York Times,Editorial,866
Would You Let the Police Search Your Phone?,2019-05-01,article,Op-Ed,,"['Search and Seizure', 'Police', 'Privacy', 'Cellular Telephones']",The New York Times,OpEd,957
Alabama Is More Pro-Immigrant Than You Think,2019-05-01,article,Op-Ed,,"['Immigration and Emigration', 'Migrant Labor (Agriculture)', 'Evangelical Movement']",The New York Times,OpEd,1019
"Trump, Seeking to Put Pressure on Maduro, Threatens a Full Embargo on Cuba",2019-05-01,article,News,,"['United States International Relations', 'Embargoes and Sanctions']",The New York Times,Washington,583
Judge Overturns Conviction of Ex-Penn State President in Sandusky Case,2019-05-01,article,News,,"['Sex Crimes', 'Child Abuse and Neglect']",The New York Times,Sports,475
Anti-Semites Don’t Just Hate Jews. They’re Targeting Freedom.,2019-05-01,article,Op-Ed,,"['ANTI-SEMITISM', 'Synagogues', 'Pittsburgh, Pa, Shooting (2018)', 'Passover', 'Jews and Judaism', 'Chabad of Poway Synagogue Shooting (2019)', 'Hate Crimes']",The New York Times,OpEd,926
"Corrections: May 1, 2019",2019-05-01,article,Correction,,[],The New York Times,Corrections,267
Quotation of the Day: Who Killed Atlanta’s Children? Retesting Evidence After 40 Years,2019-05-01,article,Quote,,[],The New York Times,Summary,45
"Congressional Democrats’ Lawsuit Examining Trump’s Private Business Can Proceed, Federal Judge Says",2019-05-01,article,News,,['Constitution (US)'],The New York Times,Washington,622
"Peacocks, but Not Peahens",2019-05-01,article,News,,['Crossword Puzzles'],The New York Times,Games,770
Mets Blow Lead in Ninth but Pete Alonso Wins Game in Tenth,2019-05-01,article,News,,['Baseball'],The New York Times,Sports,466
"Mueller, Venezuela, Deutsche Bank: Your Wednesday Briefing",2019-05-01,article,briefing,,[],The New York Times,NYTNow,1495
U.S. Military Stops Counting How Much of Afghanistan Is Controlled by Taliban,2019-05-01,article,News,,"['United States Defense and Military Forces', 'Afghanistan War (2001- )', 'Inspectors General']",The New York Times,Foreign,1205
What’s on TV Wednesday: Billboard Music Awards and ‘Knock Down the House’,2019-05-01,article,Schedule,,"['Television', 'Movies']",The New York Times,Culture,493
How to Abdicate a Throne? The Akihito Way.,2019-05-01,article,Op-Ed,,"['Politics and Government', 'Japan Earthquake and Tsunami (2011)', 'Constitutions', 'Royal Families', 'Speeches and Statements']",The New York Times,OpEd,675
Tidying Up,2019-05-01,article,News,,[],The New York Times,Learning,103
On Politics: Mueller Objected to Barr’s Description of His Findings,2019-05-01,article,News,,['United States Politics and Government'],The New York Times,Politics,452
Huawei’s Communist Culture Limits its Global Ambitions,2019-05-01,article,News,,"['Executives and Management (Theory)', 'Telephones and Telecommunications', 'Computers and the Internet']",The New York Times,Business,1276
Everyone’s Welcome at the Statue of Liberty. Except Tour Guides.,2019-05-01,article,News,,['Statue of Liberty'],The New York Times,Metro,1206
‘Avengers: Endgame’ Has Taken Over the World. Let’s Talk About Fan Service and Marvel’s Legacy,2019-05-01,article,News,,['Movies'],The New York Times,Arts&Leisure,3557
"Learning With: ‘Emperor Akihito, Who Gave Japan’s Monarchy a Human Face, Abdicates Throne’",2019-05-01,article,News,,[],The New York Times,Learning,778
"Examining Identity, Race and Responsibility Among White South Africans",2019-05-01,article,News,,"['Race and Ethnicity', 'Photography', 'Apartheid (Policy)', 'Immigration and Emigration']",The New York Times,Photo,741
How Exercise Affects Our Memory,2019-05-01,article,News,,"['Brain', 'Exercise', 'Memory', 'Muscles']",The New York Times,Well,877
Jimmy Kimmel Predicts Biden Won’t Sell Many ‘MAMA’ Hats,2019-05-01,article,News,,[],The New York Times,Arts&Leisure,686
You Can Make a Treadmill From These Common Household Items (but Don’t),2019-05-01,article,News,,"['Social Media', 'Video Recordings, Downloads and Streaming', 'Comedy and Humor', 'Computers and the Internet']",The New York Times,Express,523
Taliban and U.S. Start New Round of Talks in Qatar,2019-05-01,article,News,,"['Afghanistan War (2001- )', 'Terrorism', 'Civilian Casualties', 'United States Defense and Military Forces', 'United States International Relations', 'September 11 (2001)']",The New York Times,Foreign,694
Deconstructing Australia’s Most Instagrammed Dessert,2019-05-01,article,News,,"['Cakes', 'Watermelons', 'Strawberries']",The New York Times,Magazine,611
His Symptoms Pointed to M.S. Then He Had a Strange Personality Shift.,2019-05-01,article,News,,"['Multiple Sclerosis', 'Stroke', 'Dementia', 'Cadasil Syndrome']",The New York Times,Magazine,1375
Are Youth Sports Too Competitive?,2019-05-01,article,News,,[],The New York Times,Learning,891
The Price of This Artist’s Work? A Conversation About the Horrors of War,2019-05-01,article,News,,"['Art', 'United States Defense and Military Forces', 'Ceramics and Pottery', 'September 11 (2001)']",The New York Times,Magazine,2100
All-White Neighborhoods Are Dwindling as America Grows More Diverse,2019-05-01,article,News,,"['Real Estate and Housing (Residential)', 'Race and Ethnicity', 'Segregation and Desegregation', 'Land Use Policies']",The New York Times,Upshot,682
Her Father Was Executed for Murder. She Still Wants to Know if He Did It.,2019-05-01,article,News,,"['DNA (Deoxyribonucleic Acid)', 'Murders, Attempted Murders and Homicides', 'Forensic Science', 'False Arrests, Convictions and Imprisonments']",The New York Times,National,1683
Karl Ove Knausgaard Reflects on the Man Who Gave Us ‘The Scream’,2019-05-01,article,Review,,['Books and Literature'],The New York Times,BookReview,1249
"Employers Who Talk Up Gender Equity, but Silence Harassment Victims",2019-05-01,article,News,,"['#MeToo Movement', 'Sexual Harassment', 'Workplace Hazards and Violations', 'Women and Girls', 'Labor and Jobs']",The New York Times,Business,1385
‘King James Goes Down!’: How the Internet Turned on LeBron,2019-05-01,article,News,,['Basketball'],The New York Times,Magazine,1171
"Kamala Harris and Cory Booker, Courting Black Support, Pitch Differing Economic Plans",2019-05-01,article,News,,"['Blacks', 'Black People', 'Presidential Election of 2020', 'Primaries and Caucuses', 'Race and Ethnicity', 'Income Inequality', 'Tax Credits, Deductions and Exemptions']",The New York Times,Politics,1759
"Charlottesville Confederate Statues Are Protected by State Law, Judge Rules",2019-05-01,article,News,,"['Monuments and Memorials (Structures)', 'Civil War (US) (1861-65)', 'Demonstrations, Protests and Riots', 'Race and Ethnicity', 'Politics and Government', 'City Councils', 'Charlottesville, Va, Violence (August, 2017)']",The New York Times,Express,884
"How to Celebrate the Moon Landing, From Coast to Coast",2019-05-01,article,News,,"['Apollo Project', 'Moon']",The New York Times,Travel,889
Retracing the Photographic Steps of a 1951 New York City Shoot,2019-05-01,article,News,,"['Photography', 'Cameras', 'Parks and Other Recreation Areas']",The New York Times,Summary,698
Attending School With a South Korean 70-Year-Old,2019-05-01,article,News,,"['Families and Family Life', 'Education (K-12)', 'Rural Areas', 'Illiteracy']",The New York Times,Summary,1040
"Once Idolized, Guru of Nxivm ‘Sex Cult’ to Stand Trial Alone",2019-05-01,article,News,,"['Human Trafficking', 'Prostitution', 'Sex Crimes', 'Child Abuse and Neglect', 'Racketeering and Racketeers']",The New York Times,Metro,1656
Dating Advice for Those Who Never Thought They’d Need Tinder,2019-05-01,article,News,,"['Online Dating', 'Divorce, Separations and Annulments', 'Mobile Applications', 'Single Persons']",The New York Times,Metropolitan,1227
When Dawoud Bey Met David Hammons,2019-05-01,article,News,,"['Art', 'Photography', 'Blacks', 'Black People', 'Sculpture', 'Frieze New York']",The New York Times,Weekend,1623
Capri Welcomes 2.3 Million Tourists a Year but Wants to Limit the Trash They Leave Behind,2019-05-01,article,News,,"['Travel and Vacations', 'Waste Materials and Disposal', 'Plastics', 'Local Government']",The New York Times,Foreign,1223
"Book the Table, Then Buy the Plane Tickets",2019-05-01,article,News,,"['Restaurants', 'Reservations (Airlines, Hotels, Etc.)', 'Travel and Vacations', 'Chefs']",The New York Times,Travel,1951
‘Every Day I Fear’: Asylum Seekers Await Their Fate in a Clogged System,2019-05-01,article,News,,"['Asylum, Right of', 'Immigration and Emigration', 'Illegal Immigration', 'Refugees and Displaced Persons']",The New York Times,National,1219
"Living In ... Leonia, N.J.",2019-05-01,multimedia,Slideshow,,['Real Estate and Housing (Residential)'],The New York Times,Real Estate,0
Same Pictures. Same Places. 68 Years Apart.,2019-05-01,article,News,,"['Photography', 'Smartphones', 'Cameras']",The New York Times,Metro,514
"Leonia, N.J.: A Suburb of Artists, in Easy Reach of Manhattan",2019-05-01,article,News,,['Real Estate and Housing (Residential)'],The New York Times,RealEstate,1348
"Attorney General, Venezuela, U.N.C. Charlotte: Your Wednesday Briefing",2019-05-01,article,briefing,,[],The New York Times,NYTNow,1356
Will Trump Speak at the Statue of Liberty? N.Y. Waits and Debates,2019-05-01,article,briefing,,['Statue of Liberty'],The New York Times,Metro,1389
Want to Pass On Your Hard-Earned Wisdom? Then We Want to Hear From You,2019-05-01,article,Op-Ed,,"['Youth', 'Social Conditions and Trends']",The New York Times,OpEd,130
A Dictator’s Fall in Sudan,2019-05-01,article,News,,"['War Crimes, Genocide and Crimes Against Humanity', 'Demonstrations, Protests and Riots', 'Defense and Military Forces', 'Politics and Government']",The New York Times,Podcasts,283
