headline,date,doc_type,material_type,section,keywords,source,news_desk,word_count
Brexit Has Arrived. But Boris Johnson’s Reign Is Just Beginning.,2020-02-01,article,Op-Ed,,"['Great Britain Withdrawal from EU (Brexit)', 'Politics and Government', 'Immigration and Emigration']",The New York Times,OpEd,1253
Plans for Alabama’s Deadly Prisons ‘Won’t Fix the Horrors’,2020-02-01,article,News,,"['Prisons and Prisoners', 'Prison Guards and Corrections Officers', 'Eighth Amendment (US Constitution)', 'Politics and Government']",The New York Times,National,1037
Hillary Clinton Slams Bernie Sanders for Not Working to Unite Democrats in 2016,2020-02-01,article,News,,"['Presidential Election of 2020', 'Presidential Election of 2016']",The New York Times,Politics,846
Full Video: Senators Debate Impeachment Trial Amendments,2020-02-01,multimedia,Video,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Impeachment']",The New York Times,,0
Giuliani Sought Help for Client in Meeting With Ukrainian Official,2020-02-01,article,News,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Russian Interference in 2016 US Elections and Ties to Trump Associates', 'United States International Relations', 'Corruption (Institutional)', 'Foreign Aid', 'Impeachment', 'United States Defense and Military Forces']",The New York Times,Foreign,1478
Requiem for a Dream,2020-02-01,article,Op-Ed,,"['Great Britain Withdrawal from EU (Brexit)', 'Politics and Government']",The New York Times,OpEd,1203
Former Coast Guard Officer Accused of Plotting Terrorism Is Sentenced to 13 Years,2020-02-01,article,News,,"['Murders, Attempted Murders and Homicides', 'Firearms', 'Terrorism', 'Drug Abuse and Traffic']",The New York Times,Express,576
"Despite Evidence, Republicans Rallied Behind Trump. This Was Their Reasoning.",2020-02-01,article,News,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States Politics and Government', 'Presidential Election of 2020']",The New York Times,Washington,402
The Impeachment Trial Nears a Finale,2020-02-01,article,Letter,,"['Impeachment', 'United States Politics and Government']",The New York Times,Letters,358
Diplomat at Center of Trump Impeachment Retires From State Department,2020-02-01,article,News,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Diplomatic Service, Embassies and Consulates']",The New York Times,Washington,427
